Name,stem,correct_response,response_b,response_c,response_d,best Jasmine,best Julian,best item Josh,agreement,Inferential difficulty,Stem Words,Distractor Difficulty,Background Knowledge,_merge,target_n,strata,proximity_awl,polysemy_awl,frequency_awl,diversity_awl,complexity_awl,tag,Difficulty of other words in stem,Required Background
lonesomeness,"During the long winter nights, the shepherd kept the wolves at bay but couldn't escape the LONESOMENESS.",seclusion,boredom,excitement,companionship,,,,,,,,,Matched (3),3,401,-0.1599735,-1.621555,-4.5216379,-1.475298,-1.353377,,,
guardroom,The prisoner was taken to the GUARDROOM for interrogation after being captured.,watchroom,hall,classroom,office,error,,,,,,,,Matched (3),3,302,-0.27856901,-1.398705,-4.6881781,-2.972898,0.0422123,,,
mediator,"During the heated debate, the MEDIATOR helped both sides come to a compromise.",arbitrator,contender,observer,speaker,best,best,,2,,,,,Matched (3),1,231,-0.30773479,-1.792081,-1.3964241,-0.77936947,0.1506812,,,
cuisine,"When traveling to different countries, it's always exciting to try the local CUISINE and experience new flavors.",dishes,landmarks,customs,traditions,best,,,,,,,,Matched (3),2,131,-0.27762479,-1.787961,-1.220778,-3.407022,-0.61102748,,,
larval,"The scientific study focused on the LARVAL stage of butterflies, an essential period before they become adults.",juvenile,mature,ancient,complete,best,,,,,,,,Matched (3),2,122,0.41066369,-1.021612,-2.038965,-3.3829,-1.004505,,,
arthritis,ARTHRITIS can cause significant discomfort and impact the quality of life of those who suffer from it.,inflammation,congestion,abrasion,curvature,,,,,,,,,Matched (3),1,340,-0.12660851,-1.904723,-0.84712368,-2.304491,0.4428041,,,
tsar,She would often GNASH her teeth in her sleep due to stress.,grind,hum,breathe,talk,,,,,,,,,Matched (3),2,21,0.89326721,-1.817312,-2.026294,-3.3477709,-1.858747,,,
beachhead,The army established a BEACHHEAD on the coast to ensure a safe landing for additional troops.,foothold,departure,heiress,flyer,best,,,,,,,,Matched (3),1,322,-0.28824481,-1.039831,-2.437325,-1.92375,-0.073112398,,,
reassert,"After the initial confusion, the leader quickly moved to REASSERT his authority over the team.",reaffirm,question,enhance,diminish,,,best,,,,,,Matched (3),6,220,-0.29090121,-2.0211029,-2.339967,-0.56720769,-0.2306108,,,
carefree,Her CAREFREE attitude towards life often made her the center of attention at gatherings.,untroubled,meticulous,cautious,gloomy,,,,,,,,,Matched (3),2,232,-0.2708315,-1.257787,-1.356995,0.53463179,-0.18780109,,,
womenfolk,"During the gathering, the men discussed politics while the WOMENFOLK shared family stories and recipes.",ladies,youngsters,scholars,musicians,,,,,,,,,Matched (3),2,310,-0.32431629,-2.1497171,-2.9336181,-2.129437,0.66396731,,,
guardroom,The soldiers gathered in the GUARDROOM to plan their next move.,watchroom,kitchen,library,garden,error,,,,,,,,Matched (3),2,302,-0.27856901,-1.398705,-4.6881781,-2.972898,0.0422123,,,
drowse,"After a big meal, he couldn't help but DROWSE in the comfy armchair.",doze,eat,read,cry,best,,best,2,,,,,Matched (3),1,104,0.76799208,-0.2653406,-3.840909,-2.2172611,-1.492648,,,
boathouse,We decided to store our canoe in the BOATHOUSE for the winter to keep it safe.,dock,garage,barn,basement,,best,,,,,,,Matched (3),4,321,-0.26764661,-1.670868,-2.0409291,-2.2896399,-0.28770381,,,
thoroughly,She reviewed her essay THOROUGHLY before submitting it to her professor.,meticulously,briefly,casually,occasionally,,,,,,,,,Matched (3),2,443,-0.3255941,-0.57954389,0.44315171,1.278632,0.1368884,,,
cymbal,"During the orchestra's performance, the percussionist struck the CYMBAL with great force, producing a loud, crashing sound.",gong,guitar,violin,trumpet,best,,,,,,,,Matched (3),2,111,-0.16573361,-1.640889,-2.631809,-1.809988,-1.017489,,,
bile,His face turned red with BILE when he heard the unfair accusation.,anger,fear,joy,sorrow,,,,,,,,,Matched (3),5,32,9.9766979,-1.16453,-1.22528,-2.910171,-2.1054249,,,
reassert,The company had to REASSERT its commitment to sustainability after facing severe public criticism.,reiterate,ignore,resolve,modify,best,,,,,,,,Matched (3),3,220,-0.29090121,-2.0211029,-2.339967,-0.56720769,-0.2306108,,,
angelical,Her ANGELICAL voice soothed everyone in the room.,heavenly,harsh,loud,grating,,,,,,,,,Matched (3),5,301,1.019376,-1.82298,-4.9739871,-3.9799359,-0.1662222,,,
glum,The team was feeling GLUM after losing the championship game.,dejected,joyful,energetic,hopeful,,,,,,,,,Matched (3),3,22,2.5134561,-0.93412977,-2.116667,-0.75670159,-1.780383,,,
hieroglyphic,"To understand the ancient HIEROGLYPHIC text, the researcher studied several old scripts and symbols.",emblematic,verbal,novel,incomplete,,,,,,,,,Matched (3),3,414,-0.37601879,-0.2375336,-2.7388,-0.89305788,1.743057,,,
snakeroot,The herbalist recommended using SNAKEROOT to treat the patient's inflammatory condition.,plant,medicine,ritual,diet,best,none,,,,,,,Matched (3),2,304,-0.028939201,-0.0078959,-4.5115299,-1.792186,-1.387576,,,
samarium,The scientists discovered that SAMARIUM could be used to create more powerful magnets.,rare-earth metal,tool,sample,method,none,,,,,,,,Matched (3),1,200,-0.3002333,-2.054909,-4.881928,-4.672986,0.65956962,,,
connive,It became clear that the two politicians would CONNIVE to undermine their opponent in the upcoming election.,plot,debate,negotiate,reveal,best,,,,,,,,Matched (3),3,103,-0.26315349,-0.86938512,-3.664176,-2.0236249,-0.84021032,,,
untimely,Her UNTIMELY death shocked the entire community.,premature,predictable,averted,harmonious,,,,,,,,,Matched (3),2,234,-0.2843869,-0.1359382,-1.853285,-0.1199215,-0.1344692,,,
mediator,The corporation hired an outside MEDIATOR to manage the labor disputes and ensure a peaceful resolution.,intermediary,employee,contractor,supervisor,,,,,,,,,Matched (3),2,231,-0.30773479,-1.792081,-1.3964241,-0.77936947,0.1506812,,,
bulgy,"After the long hike, her eyes were BULGY from lack of sleep.",swollen,cheerful,radiant,sleepy,,,"best, not good",,,,,,Matched (3),5,0,1.012418,-2.1170831,-3.63605,-2.3103111,-1.1563129,,,
bighorn,"The national park is famous for its diverse wildlife, including the majestic BIGHORN.",sheep,deer,rabbit,fox,,,,,,,,,Matched (3),3,121,-0.41466191,-1.674731,-2.40713,-2.833734,3.3022349,,,
surveillance,"Due to the high level of SURVEILLANCE, the spies found it difficult to carry out their mission.",scrutiny,freedom,tension,silence,,,,,,,,,Matched (3),6,441,-0.3610445,-1.722721,-0.38584459,-0.4838253,1.111349,,,
quibble,"During the meeting, John tended to QUIBBLE over minor details instead of focusing on the main issue.",bicker,agree,laugh,comply,error,,,,,,,,Matched (3),1,123,-0.26396489,-0.43154579,-2.0304689,-1.0137841,-0.88050032,,,
untimely,Her UNTIMELY death shocked the entire community.,premature,predictable,averted,harmonious,,best,best,2,,,,,Matched (3),2,234,-0.2843869,-0.1359382,-1.853285,-0.1199215,-0.1344692,,,
devour,The children were so hungry that they began to DEVOUR the sandwiches as soon as they were served.,consume,admire,ignore,decorate,,best,,,,,,,Matched (3),1,134,0.55286598,0.1453242,-1.417629,0.0264236,-1.0401241,,,
krill,Scientists are studying the impact of climate change on the population of KRILL in Antarctic waters.,small shrimp,sea plants,large fish,underwater mammals,,best,,,,,,,Matched (3),3,20,-0.34873489,-2.2134731,-2.2394321,-4.1432748,1.261026,,,
screenwriting,Sarah decided to take a course in SCREENWRITING to enhance her ability to create captivating movie scripts.,scriptwriting,drawing,singing,dancing,error,,,,,,,,Matched (3),3,403,-0.26634029,-0.78850579,-3.3355429,-3.0004599,0.0088337,,,
reparation,The company committed to REPARATION for the harm caused by its harmful pollution over the years.,restitution,disruption,celebration,introduction,,,,,,,,,Matched (3),6,424,-0.1043145,0.1304138,-2.445926,-2.0322931,0.13727389,,,
oxygenate,,,,,,,,error,,,,,,Master only (1),1,300,-0.3207399,-2.2305739,-3.4121029,-3.1469271,0.76135862,,,
reparation,"As part of the peace treaty, the aggressor nation agreed to make significant REPARATION to the countries it had invaded.",amends,decoration,exclusions,maneuvers,,,,,,,,,Matched (3),3,424,-0.1043145,0.1304138,-2.445926,-2.0322931,0.13727389,,,
frontage,The property has an impressive FRONTAGE overlooking the main road.,facade,garden,garage,basement,,,,,,,,,Matched (3),6,223,-0.27875519,-0.46103421,-2.41435,-3.060307,-0.2178272,,,
illusionist,"As an experienced ILLUSIONIST, she was able to create the perfect distraction to pull off her trick.",conjurer,performer,musician,sculptor,,,,,,,,,Matched (3),1,411,-0.3273052,-1.594017,-2.8522689,-4.0830188,0.95325023,,,
apprehensive,The travelers were APPREHENSIVE when they noticed the storm clouds gathering.,uneasy,thrilled,ignorant,nonchalant,best,,,,,,,,Matched (3),3,432,-0.34762409,-0.91998082,-1.553077,0.36933431,1.401337,,,
predictor,Analysts believe that consumer confidence is a reliable PREDICTOR of spending habits.,gauge,segment,measure,driver,,,,,,,,,Matched (3),1,333,-0.27627951,-0.7265473,-1.421664,-2.082128,0.088023998,,,
absurd,The idea that the earth is flat is completely ABSURD.,ridiculous,fascinating,conventional,significant,,,,,,,,,Matched (3),2,143,-0.27547029,-0.33618081,-0.1334749,0.4164384,-0.9263159,,,
seer,Legends spoke of a SEER who could reveal the hidden truths of the universe.,visionary,warrior,scholar,merchant,,,,,,,,,Matched (3),6,23,5.6484151,-0.32464051,-2.3000319,-1.226426,-2.234185,,,
carefree,"The children played in the park, running around and laughing in their CAREFREE manner.",lighthearted,busy,attentive,worried,best,,,,,,,,Matched (3),3,232,-0.2708315,-1.257787,-1.356995,0.53463179,-0.18780109,,,
samarium,"After the completion of the nuclear reactor, the engineers analyzed the role of SAMARIUM in the reactor's efficiency.",element,device,experiment,formula,none,,,,,,,,Matched (3),3,200,-0.3002333,-2.054909,-4.881928,-4.672986,0.65956962,,,
alternator,The mechanic discovered that the car wasn't starting because the ALTERNATOR was faulty.,generator,accelerator,battery,ignition,,,,,,,,,Matched (3),2,420,-0.30819201,-1.872191,-1.969198,-5.0392842,0.71599817,,,
screenwriting,Sarah decided to take a course in SCREENWRITING to enhance her ability to create captivating movie scripts.,scriptwriting,drawing,singing,dancing,error,,,,,,,,Matched (3),3,403,-0.26634029,-0.78850579,-3.3355429,-3.0004599,0.0088337,,,
contour,The artist carefully outlined the CONTOUR of the model's face in the sketch.,outline,shadow,color,texture,,,,,,,,,Matched (3),2,144,-0.28759351,0.49197999,-0.83968961,-0.6492542,-0.63873678,,,
smoggy,The SMOGGY conditions in the industrial area were a cause for health concerns.,foggy,pristine,arid,tranquil,,,,,,,,,Matched (3),3,110,-0.26824731,-2.0556059,-2.999346,-2.363709,-0.157974,,,
snakeroot,Early settlers believed that SNAKEROOT could help cure snake bites and other venomous encounters.,herb,charm,spell,prayer,,,,,,,,,Matched (3),3,304,-0.028939201,-0.0078959,-4.5115299,-1.792186,-1.387576,,,
buttonhook,The nurse used a BUTTONHOOK to fasten the small buttons on the patient's gown.,fastener,scissors,thread,needle,,,,,,,,,Matched (3),3,400,-0.30595151,-2.28158,-4.939497,-2.975148,0.63547248,,,
fanatic,The politician's proposals appealed to a small but vocal group of FANATICs.,extremists,participants,observers,voters,,,,,,,,,Matched (3),2,133,-0.26747099,-0.75783157,-1.133706,-0.40174481,-0.4188486,,,
camion,"The CAMION broke down on the highway, causing a significant delay in delivery.",truck,car,bike,cart,best,,,,,,,,Matched (3),6,100,-0.2961998,-1.921082,-4.548708,-4.2347031,0.1059327,,,
fantastical,"The movie featured FANTASTICAL creatures and enchanted forests, captivating the audience entirely.",magical,mundane,reasonable,practical,best,,,,,,,,Matched (3),3,422,-0.38629591,-1.182196,-2.2008901,-1.015232,2.322417,,,
devour,"After the long hike, the campers sat by the fire to DEVOUR their dinner.",gobble,discuss,examine,scatter,,,,,,,,,Matched (3),2,134,0.55286598,0.1453242,-1.417629,0.0264236,-1.0401241,,,
flatfoot,"Losing his balance, he stumbled like a true FLATFOOT at the dance competition.",clumsy person,seasoned dancer,enthusiastic spectator,experienced judge,,,,,,,,,Matched (3),2,202,-0.2466592,-1.381254,-3.907021,-2.541116,-0.0142465,,,
tsar,"During the intense argument, he could only GNASH his teeth in frustration.",grind,cheer,speak,relax,,,,,,,,,Matched (3),5,21,0.89326721,-1.817312,-2.026294,-3.3477709,-1.858747,,,
uppercut,An effective UPPERCUT can often lead to a knockout in a boxing match.,blow,stumble,dodge,feint,,best,,,,,,,Matched (3),2,211,-0.29922429,-1.594432,-2.6174669,-3.5175231,0.020571699,,,
vodka,,,,,,,,,,,,,,Matched (3),3,40,-0.26617149,-1.936461,-0.93656182,-2.0647719,-0.99949259,,,
newsgroup,"In order to get updates from experts in the field, Maria subscribed to a popular NEWGROUP.",forum,magazine,broadcast,blog,error,best,,,,,,,Matched (3),2,313,-0.1684902,-0.53684568,-3.0395761,-3.9820509,1.509396,,,
courtyard,We enjoyed our morning coffee in the quiet COURTYARD away from the noise of the street.,quad,office,rooftop,sidewalk,,best,,,,,,,Matched (3),3,341,-0.30782959,-1.686005,-0.46833819,-0.76049489,0.28262949,,,
surveillance,The store increased its SECURITY after a series of thefts were reported.,monitoring,management,inventory,staffing,best,,,,,,,,Matched (3),3,441,-0.3610445,-1.722721,-0.38584459,-0.4838253,1.111349,,,
seer,Legends spoke of a SEER who could reveal the hidden truths of the universe.,visionary,warrior,scholar,merchant,,,,,,,,,Matched (3),1,23,5.6484151,-0.32464051,-2.3000319,-1.226426,-2.234185,,,
connive,The employees suspected their manager was trying to CONNIVE with upper management to implement unfavorable changes secretly.,scheme,argue,collaborate,disclose,,,,,,,,,Matched (3),2,103,-0.26315349,-0.86938512,-3.664176,-2.0236249,-0.84021032,,,
prior,She had no PRIOR experience in the field but quickly learned the necessary skills.,earlier,significant,formal,urgent,best,,,,,,,,Matched (3),1,43,-0.098242998,-0.36258131,0.88622171,1.053866,-1.584538,,,
guerrilla,The revolutionary wave gained strength thanks to the relentless efforts of the GUERRILLA movement.,insurgent,commanding,structured,diplomatic,low valence,,,,,,,,Matched (3),6,342,-0.33313689,-1.17221,-0.70110953,-1.929737,-0.018197101,,,
privy,She was not PRVY to the confidential information discussed in the meeting.,aware,opposed,capable,reliant,,,,,,,,,Matched (3),1,34,-0.17536791,-0.1097499,-1.381842,-0.98187321,-1.287394,,,
grueling,The marathon was so GRUELING that many runners collapsed from exhaustion during the race.,exhausting,refreshing,enjoyable,simple,,,,,,,,,Matched (3),2,230,-0.3157672,-2.099267,-1.636696,-1.147405,0.52344543,,,
samarium,"Due to its capacity to absorb neutrons, SAMARIUM is often utilized in control rods for nuclear reactors.",material,design,structure,calculation,none,,,,,,,,Matched (3),2,200,-0.3002333,-2.054909,-4.881928,-4.672986,0.65956962,,,
bayou,The alligator moved stealthily through the murky waters of the BAYOU.,marsh,desert,island,mountain,best,,,,,,,,Matched (3),1,30,0.0347206,-1.966273,-1.4537081,-2.4100249,-1.581982,,,
respiratory,The doctor diagnosed the patient with a severe RESPIRATORY infection.,breathing,digestive,circulatory,skeletal,,,,,,,,,Matched (3),3,440,-0.1570998,-1.921657,-0.3473022,-1.827666,1.51974,,,
wormhole,The concept of a WORMHOLE is intriguing because it suggests a direct route connecting two distant points in the universe.,gateway,obstacle,theory,sensation,,,,,,,,,Matched (3),2,221,-0.2941111,-1.735162,-2.118541,-2.258543,-0.16423281,,,
quibble,"During the meeting, John tended to QUIBBLE over minor details instead of focusing on the main issue.",bicker,agree,laugh,comply,error,,,,,,,,Matched (3),6,123,-0.26396489,-0.43154579,-2.0304689,-1.0137841,-0.88050032,,,
frontage,The property has an impressive FRONTAGE overlooking the main road.,facade,garden,garage,basement,,,,,,,,,Matched (3),1,223,-0.27875519,-0.46103421,-2.41435,-3.060307,-0.2178272,,,
absurd,The idea that the earth is flat is completely ABSURD.,ridiculous,fascinating,conventional,significant,,,,,,,,,Matched (3),5,143,-0.27547029,-0.33618081,-0.1334749,0.4164384,-0.9263159,,,
bayou,"Growing up near the BAYOU, she had become accustomed to the sounds of frogs and crickets at night.",swamp,forest,beach,plateau,,,,,,,,,Matched (3),6,30,0.0347206,-1.966273,-1.4537081,-2.4100249,-1.581982,,,
absurd,The notion that he could finish his homework in ten minutes was simply ABSURD.,preposterous,diligent,plausible,acceptable,,,,,,,,,Matched (3),3,143,-0.27547029,-0.33618081,-0.1334749,0.4164384,-0.9263159,,,
twain,"The river divided the land into TWAIN sections, each with its own distinct ecosystem.",two,upstream,large,ancient,best,,,,,,,,Matched (3),6,31,-0.2780019,-1.531244,-1.344256,-0.1242228,0.54951268,,,
uppercut,The boxer surprised his opponent with a quick UPPERCUT to the chin.,punch,block,jump,kick,best,,,,,,,,Matched (3),6,211,-0.29922429,-1.594432,-2.6174669,-3.5175231,0.020571699,,,
Tabernacle,,,,,,,,,,,,,,Using only (2),3,0,0,0,0,0,0,,,
fantastical,The artist's FANTASTICAL paintings captured a world of vivid colors and dreamlike landscapes.,whimsical,dull,ordinary,realistic,,,,,,,,,Matched (3),2,422,-0.38629591,-1.182196,-2.2008901,-1.015232,2.322417,,,
thoroughly,She reviewed her essay THOROUGHLY before submitting it to her professor.,meticulously,briefly,casually,occasionally,,,,,,,,,Matched (3),2,443,-0.3255941,-0.57954389,0.44315171,1.278632,0.1368884,,,
maintain,The engineer assured that they would MAINTAIN the bridge to prevent any accidents.,preserve,neglect,destroy,construct,best,best,,2,,,,,Matched (3),2,244,-0.2935206,1.158138,1.227385,1.317452,-0.53492612,,,
alternator,"After the long trip, the ALTERNATOR needed to be replaced to ensure the car's electrical system worked properly.",generator,radiator,transmission,exhaust,best,,,,,,,,Matched (3),6,420,-0.30819201,-1.872191,-1.969198,-5.0392842,0.71599817,,,
phosphorescent,The PHOSPHORESCENT markings on the insect's body made it easily identifiable during night-time field research.,radiant,subdued,shadowy,bleak,best,,,,,,,,Matched (3),3,410,-0.3576476,-2.32178,-2.686379,-1.421068,2.129241,,,
divvy,"After the marathon, the organizers decided to DIVVY up the prize money equally among the top finishers.",distribute,cook,collect,subtract,best,,,,,,,,Matched (3),6,11,-0.0276288,-1.5388,-3.0263779,-3.5673699,-1.386676,,,
codebook,"Before starting their analysis, the scientists studied the CODEBOOK to become familiar with the terminology used.",glossary,anthology,mixture,device,,,best,,,,,,Matched (3),3,204,11.84046,0.056676898,-3.736362,-4.030724,-1.861369,,,
readership,Her CAREFREE attitude towards life often made her the center of attention at gatherings.,subscribers,printers,editors,revenue,,,,,,,,,Matched (3),1,430,0.31258231,-1.973892,-1.804208,-2.4449971,0.4270142,,,
oxygenate,,,,,,,?,error,,,,,,Master only (1),6,300,-0.3207399,-2.2305739,-3.4121029,-3.1469271,0.76135862,,,
smoggy,"Because the weather was SMOGGY, many people decided to stay indoors.",polluted,sunny,windy,calm,best,,,,,,,,Matched (3),2,110,-0.26824731,-2.0556059,-2.999346,-2.363709,-0.157974,,,
jag,"After the emotional JAG of crying, Sofia felt exhausted but relieved.",outburst,interlude,sequence,event,best,,,,,,,,Matched (3),6,4,12.20553,0.15818051,-4.1214519,-2.702574,-2.1945961,,,
predictor,The results of this study are seen as a strong PREDICTOR of future economic trends.,indicator,component,participant,outcome,,,,,,,,,Matched (3),2,333,-0.27627951,-0.7265473,-1.421664,-2.082128,0.088023998,,,
carefree,"The children played in the park, running around and laughing in their CAREFREE manner.",lighthearted,busy,attentive,worried,best,,best,2,,,,,Matched (3),3,232,-0.2708315,-1.257787,-1.356995,0.53463179,-0.18780109,,,
awestruck,The audience was AWESTRUCK by the magician's incredible performance.,astonished,bored,irritated,sleepy,best,,,,,,,,Matched (3),1,320,-0.3167499,-2.070365,-2.298928,-1.195763,0.0126129,,,
reparation,"After the extensive damage caused by the hurricane, the government promised financial REPARATION to the affected communities.",compensation,negligence,appointment,ceremony,best,,,,,,,,Matched (3),2,424,-0.1043145,0.1304138,-2.445926,-2.0322931,0.13727389,,,
untimely,The UNTIMELY arrival of the storm disrupted our outdoor event.,premature,welcome,sluggish,awkward,,,,,,,,,Matched (3),3,234,-0.2843869,-0.1359382,-1.853285,-0.1199215,-0.1344692,,,
reassert,"After the initial confusion, the leader quickly moved to REASSERT his authority over the team.",reaffirm,question,enhance,diminish,,,,,,,,,Matched (3),1,220,-0.29090121,-2.0211029,-2.339967,-0.56720769,-0.2306108,,,
twain,"The treasure map indicated that the path would split in TWAIN, leading explorers in separate directions.",two,danger,mystery,wilderness,,,,,,,,,Matched (3),2,31,-0.2780019,-1.531244,-1.344256,-0.1242228,0.54951268,,,
contour,The makeup artist used different shades to highlight and define the CONTOUR of her cheekbones.,shape,sparkle,hue,length,,best,best,2,,,,,Matched (3),3,144,-0.28759351,0.49197999,-0.83968961,-0.6492542,-0.63873678,,,
samarium,The scientists discovered that SAMARIUM could be used to create more powerful magnets.,rare-earth metal,tool,sample,method,none,best,best,3,,,,,Matched (3),6,200,-0.3002333,-2.054909,-4.881928,-4.672986,0.65956962,,,
treble,The audio engineer boosted the TREBLE to make the vocals clearer in the mix.,high-pitched,volume,balance,harmony,none,,,,,,,,Matched (3),1,124,-0.1815047,0.99892628,-2.01633,-2.3757031,-1.142134,,,
fusspot,Sarah’s friends find it hard to keep up with her demands sometimes because she can be such a FUSSPOT about things being in order.,nitpicker,leader,newcomer,dreamer,,,,,,,,,Matched (3),2,101,-0.35677919,-1.73809,-4.2408199,-2.802145,1.620153,,,
thoroughly,The inspector checked the equipment THOROUGHLY to ensure safety compliance.,comprehensively,hastily,intermittently,selectively,best,,,,,,,,Matched (3),6,443,-0.3255941,-0.57954389,0.44315171,1.278632,0.1368884,,,
devour,The children were so hungry that they began to DEVOUR the sandwiches as soon as they were served.,consume,admire,ignore,decorate,,,,,,,,,Matched (3),1,134,0.55286598,0.1453242,-1.417629,0.0264236,-1.0401241,,,
treble,The musician adjusted the settings to increase the TREBLE for a brighter sound.,high-frequency,bass,tempo,rhythm,none,,,,,,,,Matched (3),3,124,-0.1815047,0.99892628,-2.01633,-2.3757031,-1.142134,,,
blacklist,"After the scandal, the author found himself on the publishing houses' BLACKLIST, unable to get his new books reviewed.",banned list,waiting list,bestseller list,table of contents,,,,,,,,,Matched (3),3,312,-0.29540759,-1.024977,-2.7656779,-2.0988331,0.2214148,,,
mediator,A skilled MEDIATOR can often resolve conflicts more effectively than a confrontational approach.,negotiator,competitor,participant,judge,,,,,,,,,Matched (3),3,231,-0.30773479,-1.792081,-1.3964241,-0.77936947,0.1506812,,,
warden,"Due to its porous nature, SANDSTONE is often used in buildings where intricate designs are required.",sedimentary rock,limestone,basalt,schist,,,,,,,,,Matched (3),2,142,0.62585622,-1.1244251,-0.79612571,-1.023279,-1.150146,,,
frontage,The new restaurant boasts a stunning FRONTAGE that attracts many customers.,facade,menu,kitchen,staff,,,,,,,,,Matched (3),2,223,-0.27875519,-0.46103421,-2.41435,-3.060307,-0.2178272,,,
seer,The villagers sought guidance from the SEER before making important decisions.,oracle,farmer,captain,musician,,,,,,,,,Matched (3),3,23,5.6484151,-0.32464051,-2.3000319,-1.226426,-2.234185,,,
maintain,"To win the championship, the team had to MAINTAIN their lead throughout the game.",uphold,lose,change,sell,,,,,,,,,Matched (3),1,244,-0.2935206,1.158138,1.227385,1.317452,-0.53492612,,,
siege,"The ancient city was under SIEGE for months, with enemy forces surrounding it completely.",blockade,vacation,appointment,restoration,,,,,,,,,Matched (3),2,42,1.2399991,-1.067807,-0.54198372,-0.71689749,-1.78505,,,
mediator,A skilled MEDIATOR can often resolve conflicts more effectively than a confrontational approach.,negotiator,competitor,participant,judge,,,,,,,,,Matched (3),3,231,-0.30773479,-1.792081,-1.3964241,-0.77936947,0.1506812,,,
Tabernacle,,,,,,,,,,,,,,Using only (2),2,0,0,0,0,0,0,,,
cockeyed,"After assembling the table, it was evident that the legs were COCKEYED and uneven.",askew,sturdy,balanced,aligned,,,,,,,,,Matched (3),2,213,-0.040678699,-0.76759988,-2.758297,-1.814664,-0.54790318,,,
dethrone,The board members voted to DETHRONE the company’s CEO after the poor financial report.,oust,appoint,praise,consult,best,,,,,,,,Matched (3),1,210,-0.2941294,-1.885605,-2.9452879,-0.86619103,-0.20166969,,,
contour,"The process will OXYGENATE the water, making it suitable for the fish to breathe.",aerate,warm,filter,boil,,,,,,,,,Matched (3),5,144,-0.28759351,0.49197999,-0.83968961,-0.6492542,-0.63873678,,,
conscientious,His CONSCIENTIOUS approach to his work meant he could be relied upon to produce high-quality results consistently.,attentive,lazy,hasty,indifferent,,,,,,,,,Matched (3),2,442,-0.37063631,-0.95450288,-1.02028,0.67162228,1.7615319,,,
residency,He completed a two-year artist RESIDENCY that allowed him to work on his painting without financial worries.,fellowship,hiatus,trip,job,,,,,,,,,Matched (3),6,343,-0.1147114,-0.80103987,-1.0924129,-1.484846,0.297961,,,
vodka,,,,,,,,,,,,,,Matched (3),3,40,-0.26617149,-1.936461,-0.93656182,-2.0647719,-0.99949259,,,
snakeroot,Botanists are studying the properties of SNAKEROOT to determine its potential medicinal benefits.,root,experiment,result,discovery,,,,,,,,,Matched (3),6,304,-0.028939201,-0.0078959,-4.5115299,-1.792186,-1.387576,,,
readership,Her CAREFREE attitude towards life often made her the center of attention at gatherings.,followers,articles,contributors,format,,,,,,,,,Matched (3),2,430,0.31258231,-1.973892,-1.804208,-2.4449971,0.4270142,,,
connive,"When the children conspired to sneak out of the house, they had to CONNIVE to avoid getting caught by their parents.",conspire,argue,greet,report,,,,,,,,,Matched (3),6,103,-0.26315349,-0.86938512,-3.664176,-2.0236249,-0.84021032,,,
shilling,,,,,,,,,,,,,,Master only (1),1,214,2.026552,0.1145832,-3.122968,-0.4054395,-1.072482,,,
gnash,,,,,,,,,,,,,,Master only (1),1,12,0.1594612,-1.135699,-3.194531,-2.311918,-1.8229361,,,
heroin,Law enforcement agencies are ramping up efforts to combat HEROIN trafficking across the state.,narcotic,contraband,produce,documents,low valence,,,,,,,,Matched (3),3,141,0.31694669,-1.678611,-0.46049181,-3.16364,-0.96431422,,,
uppercut,An effective UPPERCUT can often lead to a knockout in a boxing match.,blow,stumble,dodge,feint,,,,,,,,,Matched (3),2,211,-0.29922429,-1.594432,-2.6174669,-3.5175231,0.020571699,,,
residency,Her RESIDENCY at the university enabled her to conduct independent research.,tenure,journey,break,employment,best,,,,,,,,Matched (3),2,343,-0.1147114,-0.80103987,-1.0924129,-1.484846,0.297961,,,
maintain,"To win the championship, the team had to MAINTAIN their lead throughout the game.",uphold,lose,change,sell,,,best,,,,,,Matched (3),6,244,-0.2935206,1.158138,1.227385,1.317452,-0.53492612,,,
perkiness,"The puppy's PERKINESS was contagious, causing everyone at the park to smile.",liveliness,lethargy,confusion,aggression,,,,,,,,,Matched (3),3,303,2.112375,-0.82512653,-3.8704841,-3.2778621,-1.010304,,,
maintain,It is crucial to MAINTAIN a healthy diet to ensure long-term fitness.,sustain,disrupt,initiate,conclude,,,,,,,,,Matched (3),3,244,-0.2935206,1.158138,1.227385,1.317452,-0.53492612,,,
guerrilla,The soldiers were ambushed by a group of GUERRILLA fighters hiding in the forest.,insurgent,disciplined,regular,powerful,low valence,,,,,,,,Matched (3),2,342,-0.33313689,-1.17221,-0.70110953,-1.929737,-0.018197101,,,
contour,"The process will OXYGENATE the water, making it suitable for the fish to breathe.",aerate,warm,filter,boil,,,,,,,,,Matched (3),5,144,-0.28759351,0.49197999,-0.83968961,-0.6492542,-0.63873678,,,
krill,"The arctic waters are teeming with KRILL, which serves as a primary food source for many marine animals.",crustaceans,fish,corals,shells,,,,,,,,,Matched (3),1,20,-0.34873489,-2.2134731,-2.2394321,-4.1432748,1.261026,,,
blacklist,"After the scandal, the author found himself on the publishing houses' BLACKLIST, unable to get his new books reviewed.",banned list,waiting list,bestseller list,table of contents,,best,,,,,,,Matched (3),4,312,-0.29540759,-1.024977,-2.7656779,-2.0988331,0.2214148,,,
awestruck,"The hikers stood at the edge of the Grand Canyon, completely AWESTRUCK by the magnificent view.",amazed,confused,uninterested,frightened,,,,,,,,,Matched (3),5,320,-0.3167499,-2.070365,-2.298928,-1.195763,0.0126129,,,
