Target_Word,frequency_awl,complexity_awl,proximity_awl,diversity_awl,polysemy_awl,strata5
hydrogen,.2992852,.386325,-.3200897,-2.292122,-1.950068,240
freeway,-.7099983,-.7357028,-.2703755,-1.85194,-1.764198,141
monsieur,-1.603248,3.935917,-.4482222,-1.852732,-2.277122,230
dioxide,-.2438726,-.1293111,-.2949578,-2.469425,-1.881869,140
thatched,-1.655586,-.5955809,-.2772164,-.7784031,-1.773343,231
vaginal,-1.28862,-.2999862,-.0830659,-3.098917,-2.090782,130
renowned,-.9174915,-.4629261,-.2453336,.2337984,-1.696241,241
oversee,-.9625702,-.7668654,-.0235725,.2159366,-1.416596,142
celibacy,-1.650739,.3438323,-.32627,-2.055943,-.9563462,232
chairman,.4187821,-.3334876,-.1185334,-.0318574,-1.19092,242
immortal,-.6871639,-.2950092,-.2916732,-.7749948,.1101001,244
fondness,-1.247145,-.2767442,-.2873616,.0071892,-.117156,234
traction,-1.022721,-.5927867,.3664117,-2.629736,-.4605016,243
scholar,-.0253034,-.8654326,-.2023807,-.5728202,-.1090945,144
outbuilding,-3.158053,.8913747,-.3198857,-3.15764,-2.062324,410
moviegoer,-2.951118,1.269307,-.3429921,-3.711635,-2.286211,310
goodhearted,-3.529202,.3159302,-.2882612,-1.720343,-2.082281,400
devilishness,-4.74405,-.8246025,-.2333719,-3.895839,-1.779115,401
rustproof,-3.562183,.4388735,-.3039769,-2.413539,-2.014396,300
charmless,-3.923294,1.259858,-.3188827,-3.60583,-1.603698,301
razorback,-3.135331,.4182934,-.3019341,-3.158527,-.9095793,313
patroness,-3.039984,.2199566,-.2939721,-.6349983,-1.619575,311
inflammable,-2.895054,.8970979,-.3177271,-.3250479,-1.506537,411
gruesomeness,-4.99964,-.8455902,-.0233924,.4348961,-.9800149,402
mongoloid,-3.396384,2.624339,-.3650447,-1.301942,-.9676128,302
profiteer,-3.190233,.3751228,-.3098812,-1.233234,-.9522846,312
speechmaker,-4.602531,-1.857942,4.370805,-5.005582,-.502949,403
refection,-4.442762,-.325455,-.2415546,-1.256468,-.3022347,304
depressor,-3.030279,-1.823885,3.767158,-4.371075,-.248262,314
chucklehead,-4.668349,-1.606042,1.616445,-2.221525,.4637905,404
quintuple,-3.509531,-.8908947,.5650812,-2.42118,-.3315566,303
aeronautics,-1.881112,1.14531,-.3173883,-2.241898,-2.083558,430
wellbeing,-2.299098,.2609421,-.301011,-.5336301,-1.734099,321
undefended,-2.609877,.9066105,-.3135671,-.3086525,-1.776724,421
motivator,-2.274024,.8169711,-.3176446,-1.915128,-2.165751,320
uninitiated,-2.125816,1.702345,-.3590091,-.3288938,-2.038669,420
firebrand,-2.553888,.2984346,-.3103757,-2.542083,-.7667906,323
courtside,-2.437157,.2573907,.7368127,-3.276721,-.9962969,322
insubordination,-2.265432,3.011318,-.4002419,-.8103877,-1.057281,422
sidewinder,-2.801131,.7360954,-.3125567,-3.738261,-1.05968,412
discouragement,-2.087621,2.162693,-.378594,.4860909,-.4512643,423
shakedown,-2.416862,-.1283433,-.2904772,-1.847405,-.1271136,324
irradiation,-2.12948,.9396421,-.3302659,-2.620548,.0364465,424
supplicant,-2.722405,.5715067,-.2939037,-1.347462,-.4660197,413
hieroglyphic,-2.7388,1.743057,-.3760188,-.8930579,-.2375336,414
indentation,-1.794849,.7762509,-.3128523,-1.302464,-.0174761,434
columnist,-.7355871,.1998021,-.2869497,-1.379589,-1.722768,341
behavioral,-.2349838,1.065466,-.3519421,-2.546891,-2.269568,440
biologist,-.8134468,.5572008,-.3052208,-2.085311,-1.894337,340
affective,-1.367784,.8986223,-.3191736,-1.709187,-2.005151,330
calibration,-1.642323,.772541,-.3177019,-3.270108,-1.828382,431
marijuana,.0102114,.4796676,-.3228225,-3.20276,-1.025931,342
reluctance,-.7654902,.6374047,-.3015614,.7557416,-.9779317,442
weariness,-1.679963,-.0307957,-.1984895,-.8887646,-1.636354,331
premature,-.6926674,.3876762,-.3107967,.5719508,-.7953821,343
willpower,-1.684324,-.0310517,-.3055434,-1.366174,-1.439435,332
communicative,-1.667826,1.927527,-.3314375,-2.107993,-1.280337,432
regulatory,-.2820592,1.328111,-.3561581,-1.159418,-1.618303,441
dormitory,-1.348636,.603267,-.3233277,-.9537726,-.9060332,333
agriculture,.2302507,1.25536,-.3658115,-.636155,-.6597686,443
computing,-.3724419,.2438321,.0814824,-1.863519,-.2912627,344
fellowship,-.4814601,.4814571,-.3371066,-.9192019,-.1236683,444
expansive,-1.486553,.2081356,.3335091,-.1829016,.0622147,334
preoccupation,-1.187418,1.885184,-.3683566,-.1596233,-.4588307,433
