Target Word,Stem,Correct_Response,Response_B,Response_C,Response_D
galosh,"As the snow started to melt, I made sure to wear a GALOSH to walk outside.",overshoe,slipper,sneaker,platform
galosh,"In the muddy field, children played happily while their GALOSH protected them from the muck.",rain boot,flip-flop,loafer,clog
hyperactive,The child was so HYPERACTIVE during the birthday party that he couldn't sit still for even a minute.,energetic,sleepy,silent,calm
hyperactive,"After eating a lot of candy, the puppy became extremely HYPERACTIVE and ran around the yard non-stop.",overactive,lazy,sleepy,quiet
hyperactive,The doctor suggested that the HYPERACTIVE child might benefit from a structured routine to help manage his energy levels.,hyperkinetic,sluggish,mute,lethargic
redline,"The city planners decided to REDLINE certain neighborhoods, preventing residents from getting home loans.",restrict,promote,celebrate,assist
redline,"Due to historical REDLINE practices, certain areas of the city experienced less economic development.",discriminatory,beneficial,celebratory,neutral
redline,The activists fought against policies that continued to REDLINE communities of color.,marginalize,support,beautify,enrich
accompaniment,"The violin solo was beautiful, especially with the piano ACCOMPANIMENT in the background.",support,melody,harmony,tune
accompaniment,The dish was served with a side of vegetables as an ACCOMPANIMENT.,side dish,entrée,dessert,beverage
accompaniment,"His storytelling was engaging and humorous, made even better with the ACCOMPANIMENT of sound effects.",enhancement,distraction,difficulty,monotony
panoramic,* The hotel room offered a PANORAMIC view of the entire city skyline.,* expansive,* narrow,* small,* fleeting
panoramic,* The documentary featured PANORAMIC shots of the breathtaking landscape.,* wide-angle,* blurry,* close-up,* indistinct
panoramic,* Tourists often visit the hill to enjoy the PANORAMIC scenery of the area.,* sweeping,* partial,* distorted,* cloudy
panoramic,"After confessing his sins to the priest, he felt a sense of ABSOLUTION wash over him.",forgiveness,excitement,confusion,curiosity
panoramic,"The judge granted ABSOLUTION, freeing the prisoner from any further punishment.",pardon,restriction,temptation,suspicion
panoramic,"Seeking ABSOLUTION for her mistakes, she decided to volunteer at the community center.",redemption,exploration,instruction,prevention
abode,The grand mansion on the hill has been his family’s ABODE for generations.,home,library,office,garden
abode,"After a long day of traveling, they were relieved to finally reach their ABODE in the countryside.",dwelling,destination,station,vehicle
abode,She invited all her friends to her ABODE for a festive holiday party.,residence,café,school,workshop
longstanding,The partnership between the two companies is based on a LONGSTANDING relationship of mutual trust.,enduring,fragile,recent,fleeting
longstanding,"Her commitment to environmental causes has been LONGSTANDING, starting from her teenage years.",enduring,wavering,trivial,temporary
longstanding,The village has maintained a LONGSTANDING tradition of celebrating the harvest festival.,enduring,brief,novel,sporadic
ruinous,"The storm had a RUINOUS effect on the small coastal village, destroying homes and displacing families.",devastating,picturesque,minimal,savory
ruinous,The company's RUINOUS decision to cut corners led to a significant drop in quality and eventual bankruptcy.,disastrous,gradual,profitable,exciting
ruinous,Her RUINOUS spending habits left her in serious debt and unable to pay her bills.,destructive,thrifty,isolated,relaxing
thane,"After displaying his bravery in battle, Macbeth was rewarded with the title of THANE of Cawdor.",lord,servant,merchant,guard
thane,"In ancient Scotland, a THANE would often have significant power and influence over the local population.",noble,farmer,trader,traveler
thane,"During medieval times, a THANE was responsible for collecting taxes and maintaining order in their land.",chieftain,peasant,artisan,soldier
brooder,"After returning home from the party, John sat in his favorite chair and became a BROODER, thinking deeply about the events of the night.",contemplative,comedian,dancer,decorator
brooder,"Lydia often found herself to be a BROODER, spending hours reflecting on the choices she made in her life.",ponderer,singer,gardener,swimmer
brooder,"Known as a BROODER, Thomas would frequently isolate himself and dwell on his thoughts for long periods.",thinker,entertainer,athlete,cook
metabolism,"The doctor said that regular exercise can boost your METABOLISM, helping you burn calories more efficiently.",metabolism,energy,activity,schedule
metabolism,Certain foods can speed up your METABOLISM while others might slow it down.,metabolism,digestion,absorption,intake
metabolism,People with a faster METABOLISM tend to have more energy and can maintain their weight more easily.,metabolism,lifestyle,diet,exercise
convergence,The CONVERGENCE of the two rivers resulted in a significantly larger waterway.,merging,separation,discussion,decline
convergence,The conference aimed at fostering a CONVERGENCE of ideas from various fields of study.,unification,opposition,replication,disagreement
convergence,The rapid CONVERGENCE of technology and communication has revolutionized the way we live.,integration,divergence,isolation,disruption
granular,The scientist examined the GRANULAR texture of the soil under the microscope.,coarse,smooth,liquid,transparent
granular,"Due to its GRANULAR nature, the data can be broken down into the smallest individual details.",detailed,vague,minimal,complete
granular,The artist preferred a paint with a more GRANULAR consistency to create texture in her work.,gritty,fluid,thin,glossy
mattock,The gardener used a MATTOCK to break up the hard soil and prepare the ground for planting.,pickaxe,shovel,rake,hoe
mattock,"For the heavy-duty task of digging out stubborn roots, a MATTOCK proved to be the most effective tool.",pickaxe,trowel,spade,pruner
mattock,"After hours of swinging the MATTOCK, the worker managed to clear the rocky terrain.",pickaxe,chainsaw,wheelbarrow,lopper
disembody,"In the ghost story, the eerie voice seemed to DISEMBODY from the darkness, sending chills down everyone's spine.",detach,whisper,emerge,dissolve
disembody,"After meditating, she felt as if her thoughts could DISEMBODY from her body and float freely in the air.",separate,rest,appear,scatter
disembody,"The virtual reality game could DISEMBODY a player’s consciousness, making them feel like they were truly in another world.",detach,immerse,inspire,trick
Paddy,The farmer inspected the lush PADDY before deciding it was time for harvest.,rice field,orchard,vineyard,garden
Paddy,"Heavy rains flooded the entire PADDY, devastating the crops growing there.",rice field,meadow,desert,backyard
Paddy,"As we traveled through the countryside, we saw many PADDIES neatly arranged in rows.",rice fields,barns,fields,mountains
afflict,The disease continued to AFFLICT the village for several years.,plague,entertain,abandon,repair
afflict,Poverty can AFFLICT even the hardest-working individuals in society.,trouble,inspire,liberate,satisfy
afflict,The sudden changes in weather tend to AFFLICT the elderly with severe joint pain.,harm,benefit,encourage,rejuvenate
embraceable,The new puppy was so cute and EMRACEABLE that everyone wanted to hold him.,lovable,troublesome,timid,distant
embraceable,She found the new management techniques to be quite EMRACEABLE and implemented them in her daily routine.,acceptable,difficult,complex,questionable
embraceable,The idea of a longer vacation was thoroughly EMRACEABLE to all the employees who had been working hard all year.,appealing,mandatory,discouraging,irrelevant
backfield,The quarterback scrambled in the BACKFIELD before making an incredible throw to the wide receiver.,area behind the line of scrimmage,stands,bleachers,locker room
backfield,"The defensive line put tremendous pressure on the BACKFIELD, causing the quarterback to make several hasty decisions.",area behind the line of scrimmage,sideline,scoreboard,tunnel
backfield,The coach emphasized the importance of protecting the BACKFIELD during tonight's game against their rivals.,area behind the line of scrimmage,goalpost,concession stand,parking lot
entrepreneur,Rachel decided to become an ENTREPRENEUR and started her own tech company at the age of 25.,business owner,employee,investor,consultant
entrepreneur,The school's business program aims to encourage every student to think like an ENTREPRENEUR and create innovative solutions.,innovator,follower,manager,assistant
entrepreneur,"As a successful ENTREPRENEUR, James was frequently invited to speak at business conferences about his experiences.",founder,performer,author,critic
conceit,The novel revolves around the CONCEIT that technology can solve all human problems.,idea,mistake,character,ending
conceit,His grand CONCEIT was that he was indispensable to the company.,notion,flaw,promotion,outfit
conceit,The film's primary CONCEIT is that time travel is possible only through dreams.,concept,error,scene,theme
minesweeping,The navy deployed specialized ships for MINE_SWEEPING to ensure safe passage for the fleet.,clearance,diving,exploration,reconstruction
minesweeping,MINE_SWEEPING is crucial to removing underwater explosive threats in coastal areas.,demining,surveying,fishing,patrolling
minesweeping,The mission required extensive training in MINE_SWEEPING techniques to protect the harbor from mines.,neutralizing,mapping,sailing,anchoring
postponement,The important meeting was subject to a POSTPONEMENT due to unforeseen circumstances.,delay,plan,debate,invitation
postponement,The concert organizers announced a POSTPONEMENT because of the severe weather forecast.,rescheduling,celebration,contract,cancellation
postponement,"After much discussion, the board voted for a POSTPONEMENT of the project to allow more time for research.",deferment,advancement,evaluation,inception
adversity,"Despite facing significant ADVERSITY, she managed to complete her education with honors.",hardship,success,opportunity,excitement
adversity,The community came together to support each other through the ADVERSITY caused by the natural disaster.,difficulty,celebration,peace,prosperity
adversity,His ability to remain positive and motivated in the face of ADVERSITY inspired everyone around him.,challenge,achievement,comfort,benefit
disused,The old railway station has become DISUSED after the new one was built.,abandoned,crowded,modern,operational
disused,The factory will be converted into lofts since it has been DISUSED for many years.,neglected,flourishing,expensive,productive
disused,"The children played in the DISUSED lot, which was once a vibrant garden.",unused,thriving,attractive,renowned
nix,The manager decided to NIX the proposal because it was too costly.,reject,approve,discuss,delay
nix,The board voted to NIX the controversial advertisement campaign.,cancel,implement,design,review
nix,The editor chose to NIX several scenes from the final cut of the movie.,remove,include,extend,highlight
figural,"The artist's work is known for its intricate FIGURAL designs, which capture the human form in exquisite detail.",representational,abstract,colorful,musical
figural,"During the lecture, the professor discussed the shift from FIGURAL to abstract art in the 20th century.",representational,musical,historical,literary
figural,"The mosaic tiles were arranged in a FIGURAL pattern, depicting various mythological scenes.",representational,geometric,colorful,textual
codebook,The researchers referred to the CODEBOOK to ensure they were interpreting the data consistently.,guide,manual,notebook,text
codebook,"Without the CODEBOOK, it was difficult to understand the variables used in the survey data.",glossary,appendix,record,section
codebook,The team created a comprehensive CODEBOOK to document all the coding categories and rules.,directory,report,article,site
preindustrial,"In PREINDUSTRIAL societies, most people were engaged in agriculture or small-scale craftsmanship.",agrarian,technological,futuristic,urban
preindustrial,"The museum exhibit featured artifacts from the PREINDUSTRIAL era, highlighting the tools and techniques used before mass production.",premodern,contemporary,futuristic,innovative
preindustrial,"Before the advent of factories, the economy was largely PREINDUSTRIAL, relying on manual labor and handcrafted goods.",traditional,digital,mechanized,automated
foreboding,"Jane felt a sense of FOREBODING as she walked through the dark, deserted alley.",dread,excitement,confusion,joy
foreboding,The storm clouds on the horizon gave him a sense of FOREBODING about the upcoming trip.,apprehension,eagerness,indifference,elation
foreboding,Her sudden silence cast a shadow of FOREBODING over the cheerful gathering.,ominousness,curiosity,surprise,happiness
rotisserie,"The newly opened restaurant specializes in chicken cooked on a ROTISSERIE, which gives it a deliciously crisp skin.",spit,grill,stove,oven
rotisserie,"During the barbecue, we used the ROTISSERIE to evenly cook the entire turkey, ensuring it was juicy and flavorful.",spit,grill,roaster,flame
rotisserie,The chef preferred using a ROTISSERIE for large cuts of meat as it kept them tender and cooked them uniformly.,spit,skillet,pot,fryer
rotisserie,,,,,
rotisserie,,,,,
rotisserie,,,,,
Lockout,"Due to the contract dispute, the workers faced a LOCKOUT and were unable to enter the factory.",exclusion,celebration,invitation,seminar
Lockout,"During the labor disagreement, management enforced a LOCKOUT to prevent employees from accessing their workplace.",shutdown,meeting,training,promotion
Lockout,The union members were frustrated after the unexpected LOCKOUT left them without work.,barring,assembly,vacation,merger
claxon,The loud CLAXON of the fire truck startled everyone on the busy street.,horn,engine,siren,bell
claxon,"As the car quickly backed up, the driver honked the CLAXON to warn pedestrians.",horn,mirror,window,door
claxon,"In the middle of the chaotic traffic, the persistent CLAXON became unbearable for everyone nearby.",horn,noise,vehicle,movement
phaeton,The nobleman decided to show off his new PHAETON at the social event.,carriage,hat,house,sword
phaeton,"Sitting in his well-crafted PHAETON, the gentleman rode through the town square with great pride.",carriage,outfit,saddle,estate
phaeton,The museum's latest exhibit features a beautifully restored PHAETON from the 18th century.,carriage,painting,manuscript,clock
keystroke,"Each KEYSTROKE you make is recorded by the new software, ensuring accuracy and accountability.",typing,handwriting,footstep,error
keystroke,The hacker intercepted every KEYSTROKE to steal sensitive information from the user's computer.,keystroke,mouse click,sound,mistake
keystroke,"To improve speed, practice each KEYSTROKE until it becomes second nature.",keypress,glance,pause,whisper
abolitionism,"The era saw a rise in ABOLITIONISM, with many leaders advocating for the end of slavery.",anti-slavery,agrarianism,federalism,colonialism
abolitionism,ABOLITIONISM played a crucial role in shaping the social and political landscape of the 19th century.,emancipation,industrialism,nationalism,tourism
abolitionism,"The pamphlet was a powerful piece of ABOLITIONISM, calling for immediate and unconditional emancipation of slaves.",liberation,conservatism,humanism,patriotism
electron,"When an ELECTRON moves through a conductor, it creates an electric current.",particle,energy,molecule,circuit
electron,The discovery of the ELECTRON fundamentally changed our understanding of atomic structure.,subatomic particle,ion,molecule,element
electron,"An ELECTRON has a negative charge, which affects how it interacts with other particles.",particle,field,charge,nucleus
electron,"The once fertile land now suffered from complete BARRENNESS, leaving nothing but a desolate landscape behind.",infertility,abundance,beauty,resilience
electron,The film's depiction of emotional BARRENNESS conveyed the characters' deep sense of isolation and emptiness.,emptiness,joy,excitement,confusion
electron,"After years of neglect, the garden fell into a state of BARRENNESS, with no flowers or greenery in sight.",sterility,vibrancy,chaos,renewal
enshrine,The founding documents of the nation were carefully ENSHRINED in a special museum exhibit.,preserved,displayed,created,arranged
enshrine,Cultural traditions are often ENSHRINED in rituals and ceremonies that are passed down through generations.,honored,rehearsed,discussed,changed
enshrine,Legislators drafted a new law to ENSHRINE fundamental human rights into the constitution.,safeguard,promote,debate,ignore
Disintegrate,"Over time, the old manuscript began to DISINTEGRATE due to exposure to moisture and neglect.",crumble,float,disappear,transform
Disintegrate,The meteor struck the atmosphere and started to DISINTEGRATE before reaching the ground.,break apart,glow,ascend,merge
Disintegrate,"If left untreated, the iron fence will eventually DISINTEGRATE and leave a pile of rust in its place.",deteriorate,shine,expand,electrify
notorious,"The town was known for its NOTORIOUS weather, often shifting from sunshine to heavy rain within minutes.",infamous,spectacular,ordinary,delightful
notorious,The hacker was NOTORIOUS for breaching the security of high-profile companies.,infamous,renowned,novice,inept
notorious,The city's NOTORIOUS traffic jams made commuting a nightmare for residents.,infamous,efficient,chaotic,typical
crematorium,"After the funeral, the family gathered at the CREMATORIUM to pay their final respects.",incineration facility,chapel,monument,park
crematorium,The city built a new CREMATORIUM to replace the outdated one from the 1950s.,cremation center,hospital,library,museum
crematorium,He chose to have his remains taken to the CREMATORIUM rather than be buried in a cemetery.,burning site,morgue,garden,sanctuary
supertanker,The team observed the colossal size of the SUPERTANKER as it docked at the port.,oil ship,ferry,yacht,cruiser
supertanker,The captain skillfully navigated the SUPERTANKER through the rough seas.,large vessel,fishing boat,sailboat,patrol boat
supertanker,Environmentalists are concerned about the potential spills from a SUPERTANKER.,tanker,frigate,catamaran,submarine
deteriorate,The condition of the old house began to DETERIORATE after years of neglect and lack of maintenance.,worsen,improve,stabilize,strengthen
deteriorate,"Without proper care, the quality of your health can DETERIORATE over time, leading to various illnesses.",decline,enhance,preserve,boost
deteriorate,"As the economic crisis continued, the value of the currency started to DETERIORATE, causing widespread concern.",degrade,elevate,sustain,increase
governance,"The board is responsible for the GOVERNANCE of the organization, ensuring that all activities align with its mission and values.",management,celebration,decoration,interpretation
governance,Effective GOVERNANCE is essential for the smooth functioning of any large corporation.,administration,confusion,entertainment,misconception
governance,The committee's role in GOVERNANCE involves oversight and strategic planning for the company’s future.,leadership,recreation,literature,ornamentation
cygnet,The park ranger was excited to show us the newly hatched CYGNETS in the pond.,baby swans,ducks,turtles,geese
cygnet,Observing the CYGNET navigating the water for the first time was a delightful experience for the bird enthusiasts.,young swan,frog,fish,otter
cygnet,"The nature reserve is known for its variety of wildlife, including the graceful CYGNETS that attract many visitors.",swan chicks,peacocks,herons,turtles
zoological,The ZOOLOGICAL society hosted a fundraising event to support the conservation of endangered species.,animal-related,botanical,historical,astronomical
zoological,She published a ZOOLOGICAL paper on the migratory patterns of Arctic foxes.,animal-based,geological,musical,architectural
zoological,The museum’s ZOOLOGICAL exhibits were fascinating and included many rare specimens.,animal-focused,artistic,literary,chemical
enact,The government decided to ENACT new regulations to control pollution levels.,implement,observe,disregard,discuss
enact,"To improve road safety, the city council plans to ENACT stricter traffic laws next year.",enforce,consider,suggest,postpone
enact,The board of directors voted to ENACT the proposed changes to the company's bylaws.,approve,negotiate,reject,delay
inbound,The INBOUND flight from Paris is scheduled to land at 5:00 PM.,arriving,departing,circling,delayed
inbound,"Due to the heavy snowstorm, the INBOUND trains are delayed indefinitely.",incoming,outgoing,speeding,canceled
inbound,The company needs an efficient way to manage its INBOUND mail and packages.,arriving,departing,sorting,misplaced
psychopathic,The criminal's behavior was so violent and cruel that the psychologist described it as PSYCHOPATHIC.,sociopathic,empathetic,charismatic,sympathetic
psychopathic,"Despite his charming exterior, his PSYCHOPATHIC tendencies made him extremely dangerous to those around him.",sociopathic,compassionate,humorous,energetic
psychopathic,"The detective's investigation revealed a deep, PSYCHOPATHIC cunning behind the series of elaborate crimes.",sociopathic,naïve,honest,transparent
psychopathic,"At the grand ball, the guests took turns performing a GAVOTTE, showcasing their refined dance skills.",dance,speech,meal,gift
psychopathic,The musicians played a lively GAVOTTE that had everyone clapping along to the rhythm.,tune,silence,painting,dialogue
psychopathic,The historical reenactment included a GAVOTTE to illustrate the types of entertainment enjoyed by nobility in the 18th century.,minuet,speech,book,journey
stanza,The poet recited the first STANZA of her latest work with great passion.,verse,scene,word,book
stanza,Mark's favorite STANZA of the poem describes the beauty of the autumn leaves.,verse,chapter,paragraph,title
stanza,Each STANZA in the song adds a new layer to its overall meaning and theme.,verse,note,line,page
crudeness,"His remarks were noted for their CRUDENESS, lack of refinement, and insensitivity.",coarseness,elegance,wit,thoughtfulness
crudeness,"The movie was criticized for the CRUDENESS of its special effects, making it hard to take seriously.",roughness,brilliance,subtlety,humor
crudeness,The CRUDENESS of his table manners was surprising given his otherwise sophisticated upbringing.,vulgarity,grace,tidiness,charm
nocturne,The pianist played a beautiful NOCTURNE that captured the serene essence of nightfall.,night piece,symphony,march,ballad
nocturne,"During the concert, the musician performed a NOCTURNE, evoking images of a tranquil evening.",night piece,overture,aria,sonata
nocturne,"The composer was known for his NOCTURNE, which effectively conveyed the calmness of nighttime.",night composition,rondo,cantata,fugue
cancan,The dancers performed the lively CANCAN with high kicks and energetic movements.,dance,conversation,meal,journey
cancan,"During the festival, the audience was thrilled by the dancers performing the elaborate CANCAN.",performance,discussion,tradition,artwork
cancan,The elaborate costumes and fast-paced rhythms of the CANCAN made it the highlight of the evening show.,routine,speech,book,lecture
boldface,The headline in BOLDFACE caught everyone's attention immediately.,typeface,content,layout,graphic
boldface,The printing company suggested using BOLDFACE for emphasis in the advertisement.,font,color,design,format
boldface,The instructions were printed in BOLDFACE to ensure that they would not be easily overlooked.,print,size,words,margins
dramatist,The young DRAMATIST received critical acclaim for his innovative and compelling scripts.,playwright,actor,director,producer
dramatist,"As a renowned DRAMATIST, she has written more than twenty successful plays performed worldwide.",playwright,novelist,designer,choreographer
dramatist,"Being a versatile DRAMATIST, his works often explore various genres and complex characters.",playwright,editor,performer,costume designer
recall,"After the accident, she could only partially RECALL the events of that day.",remember,ignore,suggest,describe
recall,The committee had to RECALL the defective products from all the stores immediately.,withdraw,distribute,inspect,advertise
recall,He tried to RECALL the formula he had learned in school to solve the problem.,recollect,replace,discard,show
unforeseen,The team had to quickly adapt to the UNFORESEEN challenges that arose during the project.,unexpected,trivial,planned,routine
unforeseen,We had saved some money for UNFORESEEN expenses that might occur during our trip.,unexpected,planned,minor,deliberate
unforeseen,"Due to UNFORESEEN circumstances, the event had to be rescheduled to next month.",unexpected,intended,predictable,unusual
remnant,"After the meal, only a small REMNANT of the pie remained.",leftover,topping,dessert,piece
remnant,The archaeologists were excited to discover a REMNANT of the ancient civilization.,fragment,statue,artifact,painting
remnant,The old fabric store had a discounted section for REMNANT pieces.,remaining,new,damaged,valuable
postmortem,"After the game, the coach conducted a POSTMORTEM to analyze what went wrong.",review,celebration,prediction,intervention
postmortem,The detective called for a POSTMORTEM to determine the exact cause of death.,autopsy,examination,treatment,diagnosis
postmortem,"Following the completion of the project, the team held a POSTMORTEM to discuss lessons learned.",evaluation,party,interruption,conspiracy
underfunded,"The city’s public schools are severely UNDERFUNDED, leading to a lack of resources and staff members.",impoverished,decorated,plentiful,majestic
underfunded,The community health center struggled to provide adequate care because it was perpetually UNDERFUNDED.,inadequately financed,fully staffed,generously endowed,privately owned
underfunded,"Due to being UNDERFUNDED, the non-profit organization could not expand its outreach programs.",insufficiently financed,overly supported,well-organized,entirely operated
caster,The heavy-duty office chair glides smoothly thanks to the new CASTER attached to each leg.,wheel,handle,cushion,lever
caster,Jill adjusted the angle of the spotlight by turning the CASTER underneath the base.,wheel,screw,switch,dial
caster,Tom realized he could move the cart more easily after replacing the faulty CASTER on the front left corner.,wheel,bracket,shelf,handle
vending,The high school installed a new VENDING machine in the cafeteria.,dispensing,cooking,cleaning,painting
vending,She decided to start a small VENDING business to sell snacks at local events.,selling,renting,fixing,designing
vending,The company specializes in the VENDING of luxury items and high-end gadgets.,trading,manufacturing,assembling,repairing
functionary,"The small town’s mayor, though largely a ceremonial FUNCTIONARY, was beloved by the residents for her community service.",official,volunteer,resident,outsider
functionary,"As a low-level FUNCTIONARY in the government, his decisions had little impact on policy-making.",bureaucrat,consultant,entrepreneur,applicant
functionary,The international delegation included a FUNCTIONARY responsible for ensuring the following of protocol during meetings.,administrator,interpreter,technician,guest
abduction,"The news reported another case of ABUCTION, worrying the community about the safety of their children.",kidnapping,vacation,misunderstanding,celebration
abduction,The police immediately mobilized forces to investigate the ABUCTION of the young girl from her home.,kidnapping,renovation,invitation,declaration
abduction,The movie depicted a dramatic ABUCTION scene that captured the audience's attention.,kidnapping,revelation,competition,donation
fatback,"For the traditional recipe, you’ll need to include slices of FATBACK to provide extra flavor and moisture.",pork fat,spices,vegetables,broth
fatback,The chef recommended adding diced FATBACK to the stew for a richer taste.,pork fat,carrots,noodles,potatoes
fatback,Many traditional southern dishes are enhanced when using FATBACK as a key ingredient.,pork fat,sugar,rice,chicken
fatback,"The new movie is a PREQUEL to the original trilogy, explaining the background of the main characters.",predecessor,sequel,adaptation,overhauled
fatback,"Fans were excited for the release of the PREQUEL, which dives into the events before the famous battle.",backstory,conclusion,flashback,aftermath
fatback,The author decided to write a PREQUEL to provide more context about the protagonist's early life.,origin,climax,epilogue,narrative
authoritative,The author decided to write a PREQUEL to provide more context about the protagonist's early life.,commanding,insightful,monotonous,lengthy
authoritative,The author decided to write a PREQUEL to provide more context about the protagonist's early life.,definitive,intriguing,preliminary,debatable
authoritative,The author decided to write a PREQUEL to provide more context about the protagonist's early life.,assertive,gentle,casual,hesitant
surly,The waiter was so SURLY that we left the restaurant without ordering.,rude,excited,competent,polite
surly,"After the game, the coach's SURLY attitude made the players feel even worse.",grumpy,encouraging,indifferent,joyful
surly,"Despite his SURLY exterior, he was actually very kind-hearted once you got to know him.",ill-tempered,charming,calm,timid
unpublished,"The writer stored her UNPUBLISHED manuscript in a safe place, hoping to release it next year.",unreleased,translated,popular,revised
unpublished,"His latest research findings remain UNPUBLISHED, awaiting peer review.",unprinted,ignored,debated,acclaimed
unpublished,The photographer's most captivating images are still UNPUBLISHED and not available in any gallery.,unseen,sold,criticized,exposed
southpaw,The veteran pitcher surprised everyone on the team with his impressive accuracy as a SOUTHPAW.,left-hander,right-hander,rookie,coach
southpaw,Many boxing experts believe that being a SOUTHPAW can give fighters a strategic advantage in the ring.,left-hander,aggressive,taller,inexperienced
southpaw,"His SOUTHPAW stance confused his opponents, leading to many unexpected victories.",left-handed,defensive,disciplined,swift
mentor,"Jane was nervous about starting her new job, but her MENTOR gave her some valuable advice that made her feel more confident.",advisor,colleague,competitor,friend
mentor,"Under the guidance of his MENTOR, Tom was able to develop skills that greatly enhanced his career prospects.",coach,neighbor,employee,apprentice
mentor,"Sarah attributes much of her success to her MENTOR, who provided her with both professional and personal support.",guide,assistant,sibling,tutor
fictionalize,The writer chose to FICTIONALIZE the historical event to make it more engaging for readers.,invent,reveal,remind,verify
fictionalize,"When asked about her travels, she tends to FICTIONALIZE the stories to make them sound more exciting.",fabricate,simplify,recall,summarize
fictionalize,The director decided to FICTIONALIZE the biography to add dramatic elements that weren't in the original account.,embellish,depict,delete,translate
ultrasound,The doctor used an ULTRASOUND to check the health of the baby during the pregnancy.,sonogram,triplet,incubator,delivery
