target_word,frequency_awl,complexity_awl,proximity_awl,diversity_awl,polysemy_awl,strata,stem,correct_response,response_b,response_c,response_d,_merge,target_n
arthritis,-.84712368,.4428041,-.12660851,-2.304491,-1.904723,340,ARTHRITIS can cause significant discomfort and impact the quality of life of those who suffer from it.,inflammation,congestion,abrasion,curvature,Matched (3),1
arthritis,-.84712368,.4428041,-.12660851,-2.304491,-1.904723,340,Maria often experiences joint pain and stiffness due to her ARTHRITIS.,inflammation,sprain,fracture,bruise,Matched (3),2
arthritis,-.84712368,.4428041,-.12660851,-2.304491,-1.904723,340,The doctor recommended certain exercises to help alleviate the symptoms of ARTHRITIS.,inflammation,infection,dehydration,fatigue,Matched (3),3
awestruck,-2.298928,.0126129,-.3167499,-1.195763,-2.070365,320,The audience was AWESTRUCK by the magician's incredible performance.,astonished,bored,irritated,sleepy,Matched (3),1
awestruck,-2.298928,.0126129,-.3167499,-1.195763,-2.070365,320,"The hikers stood at the edge of the Grand Canyon, completely AWESTRUCK by the magnificent view.",amazed,confused,uninterested,frightened,Matched (3),2
awestruck,-2.298928,.0126129,-.3167499,-1.195763,-2.070365,320,The little girl was AWESTRUCK as she watched the fireworks light up the night sky.,spellbound,hungry,annoyed,sleepy,Matched (3),3
bayou,-1.4537081,-1.581982,.0347206,-2.4100249,-1.966273,30,The alligator moved stealthily through the murky waters of the BAYOU.,marsh,desert,island,mountain,Matched (3),1
bayou,-1.4537081,-1.581982,.0347206,-2.4100249,-1.966273,30,"Growing up near the BAYOU, she had become accustomed to the sounds of frogs and crickets at night.",swamp,forest,beach,plateau,Matched (3),2
bayou,-1.4537081,-1.581982,.0347206,-2.4100249,-1.966273,30,The family took a boat tour to explore the lush vegetation along the BAYOU.,wetland,highway,suburb,prairie,Matched (3),3
beachhead,-2.437325,-.073112398,-.28824481,-1.92375,-1.039831,322,The army established a BEACHHEAD on the coast to ensure a safe landing for additional troops.,foothold,departure,heiress,flyer,Matched (3),1
beachhead,-2.437325,-.073112398,-.28824481,-1.92375,-1.039831,322,"In the competitive market, the company sought to gain a BEACHHEAD before expanding its operations nationwide.",stronghold,decline,philosopher,flyer,Matched (3),2
beachhead,-2.437325,-.073112398,-.28824481,-1.92375,-1.039831,322,"The new startup successfully established a BEACHHEAD in the tech industry, which allowed it to grow rapidly.",foothold,retreat,greenery,latitude,Matched (3),3
bighorn,-2.40713,3.3022349,-.41466191,-2.833734,-1.674731,121,"While hiking in the mountains, we were fortunate enough to spot a BIGHORN on a rocky ledge.",sheep,bird,lizard,bear,Matched (3),1
bighorn,-2.40713,3.3022349,-.41466191,-2.833734,-1.674731,121,"Rangers at the wildlife reserve are dedicated to protecting the BIGHORN, which is often targeted by poachers.",sheep,wolf,eagle,tiger,Matched (3),2
bighorn,-2.40713,3.3022349,-.41466191,-2.833734,-1.674731,121,"The national park is famous for its diverse wildlife, including the majestic BIGHORN.",sheep,deer,rabbit,fox,Matched (3),3
bile,-1.22528,-2.1054249,9.9766979,-2.910171,-1.16453,32,The doctor's report indicated that excessive production of BILE can lead to digestive problems.,gall,urine,saliva,blood,Matched (3),1
bile,-1.22528,-2.1054249,9.9766979,-2.910171,-1.16453,32,His face turned red with BILE when he heard the unfair accusation.,anger,fear,joy,sorrow,Matched (3),2
bile,-1.22528,-2.1054249,9.9766979,-2.910171,-1.16453,32,The BILE secreted by the liver is essential for the digestion of fats.,fluid,enzyme,hormone,vitamin,Matched (3),3
blacklist,-2.7656779,.2214148,-.29540759,-2.0988331,-1.024977,312,James was informed that he had been placed on a company BLACKLIST and was no longer eligible for promotions.,exclusion list,guest list,attendance sheet,menu,Matched (3),1
blacklist,-2.7656779,.2214148,-.29540759,-2.0988331,-1.024977,312,"The school threatened to BLACKLIST students found cheating, barring them from future events.",prohibit,invite,encourage,monitor,Matched (3),2
blacklist,-2.7656779,.2214148,-.29540759,-2.0988331,-1.024977,312,"After the scandal, the author found himself on the publishing houses' BLACKLIST, unable to get his new books reviewed.",banned list,waiting list,bestseller list,table of contents,Matched (3),3
boathouse,-2.0409291,-.28770381,-.26764661,-2.2896399,-1.670868,321,"After a long day on the lake, the fishermen returned their boat to the BOATHOUSE.",pier,restaurant,station,shed,Matched (3),1
boathouse,-2.0409291,-.28770381,-.26764661,-2.2896399,-1.670868,321,The couple rented a BOATHOUSE to enjoy their vacation by the river.,marina,hotel,apartment,chalet,Matched (3),2
boathouse,-2.0409291,-.28770381,-.26764661,-2.2896399,-1.670868,321,We decided to store our canoe in the BOATHOUSE for the winter to keep it safe.,dock,garage,barn,basement,Matched (3),3
bulgy,-3.63605,-1.1563129,1.012418,-2.3103111,-2.1170831,0,"After the long hike, her eyes were BULGY from lack of sleep.",swollen,cheerful,radiant,sleepy,Matched (3),1
bulgy,-3.63605,-1.1563129,1.012418,-2.3103111,-2.1170831,0,"The old, BULGY suitcase seemed like it would burst open at any moment.",protruding,compact,invisible,empty,Matched (3),2
bulgy,-3.63605,-1.1563129,1.012418,-2.3103111,-2.1170831,0,His muscles looked BULGY after months of intense weightlifting.,enlarged,weak,narrow,soft,Matched (3),3
buttonhook,-4.939497,.63547248,-.30595151,-2.975148,-2.28158,400,She demonstrated how to use a BUTTONHOOK to make fastening the buttons on her dress much easier.,device,trick,pattern,cloth,Matched (3),1
buttonhook,-4.939497,.63547248,-.30595151,-2.975148,-2.28158,400,"While cleaning out the attic, I discovered an old BUTTONHOOK among my grandmother's belongings.",tool,photograph,letter,blanket,Matched (3),2
buttonhook,-4.939497,.63547248,-.30595151,-2.975148,-2.28158,400,The nurse used a BUTTONHOOK to fasten the small buttons on the patient's gown.,fastener,scissors,thread,needle,Matched (3),3
camion,-4.548708,.1059327,-.2961998,-4.2347031,-1.921082,100,"The CAMION broke down on the highway, causing a significant delay in delivery.",truck,car,bike,cart,Matched (3),1
camion,-4.548708,.1059327,-.2961998,-4.2347031,-1.921082,100,"During the harvest season, a CAMION full of fresh produce arrives at the market daily.",lorry,van,basket,crate,Matched (3),2
camion,-4.548708,.1059327,-.2961998,-4.2347031,-1.921082,100,The workers used a large CAMION to transport the construction materials to the site.,truck,vehicle,tool,machine,Matched (3),3
carefree,-1.356995,-.18780109,-.2708315,.53463179,-1.257787,232,"On their vacation, the couple enjoyed a CAREFREE week exploring the countryside without any set plans.",relaxed,rigorous,solemn,anxious,Matched (3),1
carefree,-1.356995,-.18780109,-.2708315,.53463179,-1.257787,232,Her CAREFREE attitude towards life often made her the center of attention at gatherings.,untroubled,meticulous,cautious,gloomy,Matched (3),2
carefree,-1.356995,-.18780109,-.2708315,.53463179,-1.257787,232,"The children played in the park, running around and laughing in their CAREFREE manner.",lighthearted,busy,attentive,worried,Matched (3),3
chairman,.41878209,-.3334876,-.1185334,-.031857401,-1.19092,242,The CHAIRMAN thanked all the stakeholders for their continued support and cooperation.,president,clerk,visitor,observer,Matched (3),1
chairman,.41878209,-.3334876,-.1185334,-.031857401,-1.19092,242,The CHAIRMAN of the board called the meeting to order promptly at 9 AM.,leader,assistant,guest,participant,Matched (3),2
chairman,.41878209,-.3334876,-.1185334,-.031857401,-1.19092,242,"As the CHAIRMAN, he had the final say in all the company's major decisions.",head,employee,spectator,learner,Matched (3),3
cock,-.51192141,-2.303277,7.8873739,-1.025781,1.550397,44,He always had to COCK his hat at a jaunty angle before leaving the house.,tilt,clean,remove,straighten,Matched (3),1
cock,-.51192141,-2.303277,7.8873739,-1.025781,1.550397,44,She had to COCK the hammer back before taking aim with the rifle.,pull back,hide,drop,lift,Matched (3),2
cock,-.51192141,-2.303277,7.8873739,-1.025781,1.550397,44,The rooster began to COCK its head curiously at the noise coming from the barn.,tilt,hide,boast,perch,Matched (3),3
cockeyed,-2.758297,-.54790318,-.040678699,-1.814664,-.76759988,213,The artist created a COCKEYED portrait that left the audience both puzzled and intrigued.,bizarre,beautiful,conventional,realistic,Matched (3),1
cockeyed,-2.758297,-.54790318,-.040678699,-1.814664,-.76759988,213,"After assembling the table, it was evident that the legs were COCKEYED and uneven.",askew,sturdy,balanced,aligned,Matched (3),2
cockeyed,-2.758297,-.54790318,-.040678699,-1.814664,-.76759988,213,Her plans for the weekend were so COCKEYED that no one could take them seriously.,absurd,organized,logical,thrilling,Matched (3),3
codebook,-3.736362,-1.861369,11.84046,-4.030724,.056676898,204,The researchers referred to the CODEBOOK to decode the encrypted messages.,manual,guide,wrapper,tablet,Matched (3),1
codebook,-3.736362,-1.861369,11.84046,-4.030724,.056676898,204,"In order to understand the survey data, the analysts used the CODEBOOK provided by the team.",reference,directory,container,metaphor,Matched (3),2
codebook,-3.736362,-1.861369,11.84046,-4.030724,.056676898,204,"Before starting their analysis, the scientists studied the CODEBOOK to become familiar with the terminology used.",glossary,anthology,mixture,device,Matched (3),3
connive,-3.664176,-.84021032,-.26315349,-2.0236249,-.86938512,103,"When the children conspired to sneak out of the house, they had to CONNIVE to avoid getting caught by their parents.",conspire,argue,greet,report,Matched (3),1
connive,-3.664176,-.84021032,-.26315349,-2.0236249,-.86938512,103,The employees suspected their manager was trying to CONNIVE with upper management to implement unfavorable changes secretly.,scheme,argue,collaborate,disclose,Matched (3),2
connive,-3.664176,-.84021032,-.26315349,-2.0236249,-.86938512,103,It became clear that the two politicians would CONNIVE to undermine their opponent in the upcoming election.,plot,debate,negotiate,reveal,Matched (3),3
conscientious,-1.02028,1.7615319,-.37063631,.67162228,-.95450288,442,"The team appreciated how CONSCIENTIOUS their leader was, always paying attention to every detail in the projects.",meticulous,spontaneous,mundane,erratic,Matched (3),1
conscientious,-1.02028,1.7615319,-.37063631,.67162228,-.95450288,442,His CONSCIENTIOUS approach to his work meant he could be relied upon to produce high-quality results consistently.,attentive,lazy,hasty,indifferent,Matched (3),2
conscientious,-1.02028,1.7615319,-.37063631,.67162228,-.95450288,442,"Sarah was very CONSCIENTIOUS in her preparation for the exam, ensuring she reviewed all the course material thoroughly.",diligent,careless,hesitant,quick,Matched (3),3
contemporary,.6645453,2.013484,-.38783199,.12890141,-.0122284,444,The gallery showcases CONTEMPORARY artworks from various modern artists.,modern,ancient,traditional,classical,Matched (3),1
contemporary,.6645453,2.013484,-.38783199,.12890141,-.0122284,444,The architect used CONTEMPORARY designs to give the building a sleek and up-to-date look.,current,historical,outdated,rustic,Matched (3),2
contemporary,.6645453,2.013484,-.38783199,.12890141,-.0122284,444,"As a CONTEMPORARY of Shakespeare, Christopher Marlowe shared similar themes in his plays.",peer,critic,historian,admirer,Matched (3),3
contour,-.83968961,-.63873678,-.28759351,-.6492542,.49197999,144,The plant’s roots need to OXYGENATE through proper soil management to promote healthy growth.,ventilate,moisturize,fertilize,compact,Matched (3),1
contour,-.83968961,-.63873678,-.28759351,-.6492542,.49197999,144,The artist carefully outlined the CONTOUR of the model's face in the sketch.,outline,shadow,color,texture,Matched (3),2
contour,-.83968961,-.63873678,-.28759351,-.6492542,.49197999,144,The makeup artist used different shades to highlight and define the CONTOUR of her cheekbones.,shape,sparkle,hue,length,Matched (3),3
contour,-.83968961,-.63873678,-.28759351,-.6492542,.49197999,144,"The hiker's map showed every CONTOUR of the mountain terrain, making it easy to plan his route.",outline,peak,forest,rock,Matched (3),4
contour,-.83968961,-.63873678,-.28759351,-.6492542,.49197999,144,"The process will OXYGENATE the water, making it suitable for the fish to breathe.",aerate,warm,filter,boil,Matched (3),5
contour,-.83968961,-.63873678,-.28759351,-.6492542,.49197999,144,"To ensure the muscles receive enough energy, it's important to OXYGENATE the blood during heavy exercise.",enrich,dehydrate,dilute,cool,Matched (3),6
cosmology,-1.528409,.7309643,-.33200139,-2.5938151,-.91608858,332,The book on COSMOLOGY provided an in-depth understanding of the universe’s evolution from the Big Bang to the present day.,astrophysics,biology,sociology,archaeology,Matched (3),1
cosmology,-1.528409,.7309643,-.33200139,-2.5938151,-.91608858,332,"In his lectures, the professor discussed the principles of COSMOLOGY and how they relate to the origins of the universe.",astrophysics,geology,anthropology,archaeology,Matched (3),2
cosmology,-1.528409,.7309643,-.33200139,-2.5938151,-.91608858,332,She decided to major in COSMOLOGY to explore the fundamental questions about the universe's origin and structure.,astrophysics,botany,musicology,economics,Matched (3),3
courtyard,-.46833819,.28262949,-.30782959,-.76049489,-1.686005,341,The hotel features a beautiful COURTYARD with a fountain and several gardens.,patio,lobby,suite,hallway,Matched (3),1
courtyard,-.46833819,.28262949,-.30782959,-.76049489,-1.686005,341,The children played in the spacious COURTYARD until the sun went down.,enclosure,living room,balcony,alley,Matched (3),2
courtyard,-.46833819,.28262949,-.30782959,-.76049489,-1.686005,341,We enjoyed our morning coffee in the quiet COURTYARD away from the noise of the street.,quad,office,rooftop,sidewalk,Matched (3),3
cuisine,-1.220778,-.61102748,-.27762479,-3.407022,-1.787961,131,His interest in French CUISINE led him to enroll in a prestigious cooking school in Paris.,cooking,culture,art,language,Matched (3),1
cuisine,-1.220778,-.61102748,-.27762479,-3.407022,-1.787961,131,"When traveling to different countries, it's always exciting to try the local CUISINE and experience new flavors.",dishes,landmarks,customs,traditions,Matched (3),2
cuisine,-1.220778,-.61102748,-.27762479,-3.407022,-1.787961,131,"The restaurant is known for its exceptional Italian CUISINE, which includes a variety of handmade pasta and wood-fired pizzas.",food,decoration,furniture,service,Matched (3),3
cymbal,-2.631809,-1.017489,-.16573361,-1.809988,-1.640889,111,The drummer added a quick crash of the CYMBAL to emphasize the dramatic end to the piece.,gong,drumstick,piano,clarinet,Matched (3),1
cymbal,-2.631809,-1.017489,-.16573361,-1.809988,-1.640889,111,"During the orchestra's performance, the percussionist struck the CYMBAL with great force, producing a loud, crashing sound.",gong,guitar,violin,trumpet,Matched (3),2
cymbal,-2.631809,-1.017489,-.16573361,-1.809988,-1.640889,111,"In the rock band's energetic finale, the drummer's rhythmic hits on the CYMBAL echoed through the stadium.",gong,microphone,bass,keyboard,Matched (3),3
depiction,-1.692847,-.031723399,-.291242,-2.6202991,.1579157,334,The book's DEPICTION of rural life in the 19th century is both poignant and thorough.,illustration,celebration,disruption,commentary,Matched (3),1
depiction,-1.692847,-.031723399,-.291242,-2.6202991,.1579157,334,The movie's DEPICTION of historical events was praised for its accuracy and attention to detail.,representation,omission,invention,avoidance,Matched (3),2
depiction,-1.692847,-.031723399,-.291242,-2.6202991,.1579157,334,The artist's DEPICTION of the bustling marketplace captured the vibrant energy and diversity of the scene.,portrayal,creation,destruction,removal,Matched (3),3
dethrone,-2.9452879,-.20166969,-.2941294,-.86619103,-1.885605,210,The board members voted to DETHRONE the company’s CEO after the poor financial report.,oust,appoint,praise,consult,Matched (3),1
dethrone,-2.9452879,-.20166969,-.2941294,-.86619103,-1.885605,210,Many believe that the reigning champion will be DETHRONED in the upcoming match.,unseated,promoted,cheered,followed,Matched (3),2
dethrone,-2.9452879,-.20166969,-.2941294,-.86619103,-1.885605,210,"After a series of defeats, the once-mighty king was finally DETHRONED by his enemies.",removed,celebrated,assisted,reinforced,Matched (3),3
devour,-1.417629,-1.0401241,.55286598,.0264236,.1453242,134,The children were so hungry that they began to DEVOUR the sandwiches as soon as they were served.,consume,admire,ignore,decorate,Matched (3),1
devour,-1.417629,-1.0401241,.55286598,.0264236,.1453242,134,"After the long hike, the campers sat by the fire to DEVOUR their dinner.",gobble,discuss,examine,scatter,Matched (3),2
devour,-1.417629,-1.0401241,.55286598,.0264236,.1453242,134,"The wolves moved quickly to DEVOUR their prey, leaving nothing behind.",eat,create,protect,observe,Matched (3),3
divvy,-3.0263779,-1.386676,-.0276288,-3.5673699,-1.5388,11,"After the marathon, the organizers decided to DIVVY up the prize money equally among the top finishers.",distribute,cook,collect,subtract,Matched (3),1
divvy,-3.0263779,-1.386676,-.0276288,-3.5673699,-1.5388,11,The roommates need to DIVVY the household chores so that everyone contributes equally.,share,ignore,plan,increase,Matched (3),2
divvy,-3.0263779,-1.386676,-.0276288,-3.5673699,-1.5388,11,The team leader asked everyone to DIVVY the workload to ensure the project meets its deadline.,apportion,delay,create,understand,Matched (3),3
drowse,-3.840909,-1.492648,.76799208,-2.2172611,-.2653406,104,"After a big meal, he couldn't help but DROWSE in the comfy armchair.",doze,eat,read,cry,Matched (3),1
drowse,-3.840909,-1.492648,.76799208,-2.2172611,-.2653406,104,"During the long lecture, several students began to DROWSE.",nod off,write,question,listen,Matched (3),2
drowse,-3.840909,-1.492648,.76799208,-2.2172611,-.2653406,104,The hot summer afternoon made me want to DROWSE under the shade of the old oak tree.,nap,study,argue,jump,Matched (3),3
dustman,-4.3059978,-.1874572,-.2606076,-.7596401,-1.4441431,102,The GRUELING climb to the mountain's peak left the hikers completely drained of energy.,refuse collector,bus driver,baker,musician,Matched (3),1
dustman,-4.3059978,-.1874572,-.2606076,-.7596401,-1.4441431,102,The GRUELING climb to the mountain's peak left the hikers completely drained of energy.,trash collector,mechanic,chef,pilot,Matched (3),2
dustman,-4.3059978,-.1874572,-.2606076,-.7596401,-1.4441431,102,The GRUELING climb to the mountain's peak left the hikers completely drained of energy.,garbage collector,mailman,gardener,carpenter,Matched (3),3
electro,-2.6550021,-.86608249,-.2422855,-4.0014949,-1.115592,112,"Many modern pop songs incorporate ELEMENTS of ELECTRO, making them popular in nightclubs.",electronic,classical,lyrical,narrative,Matched (3),1
electro,-2.6550021,-.86608249,-.2422855,-4.0014949,-1.115592,112,"During the party, the DJ played a mix of house, techno, and ELECTRO tracks that kept everyone dancing all night.",electronic,funky,mellow,soulful,Matched (3),2
electro,-2.6550021,-.86608249,-.2422855,-4.0014949,-1.115592,112,"The band's latest album features a wide range of genres, with a significant influence from ELECTRO music.",electronic,acoustic,jazz,classical,Matched (3),3
fairlead,-4.6749678,-1.2429529,-.1886946,-2.15169,-1.80564,201,"The sailor adjusted the rope, ensuring it ran smoothly through the FAIRLEAD on the deck.",pulley,anchor,mast,compass,Matched (3),1
fairlead,-4.6749678,-1.2429529,-.1886946,-2.15169,-1.80564,201,The FAIRLEAD was crucial in keeping the cable aligned and prevented it from getting tangled.,conduit,net,hull,rudder,Matched (3),2
fairlead,-4.6749678,-1.2429529,-.1886946,-2.15169,-1.80564,201,"To reduce the wear on the lines, we passed the ropes through the FAIRLEAD before securing them.",guide,knot,sail,harpoon,Matched (3),3
fanatic,-1.133706,-.4188486,-.26747099,-.40174481,-.75783157,133,"As a football FANATIC, Mark had his house decorated entirely in his team's colors.",devotee,critic,employee,neighbor,Matched (3),1
fanatic,-1.133706,-.4188486,-.26747099,-.40174481,-.75783157,133,The politician's proposals appealed to a small but vocal group of FANATICs.,extremists,participants,observers,voters,Matched (3),2
fanatic,-1.133706,-.4188486,-.26747099,-.40174481,-.75783157,133,Joan was such a FANATIC about fitness that she never missed a day at the gym.,enthusiast,skeptic,teacher,beginner,Matched (3),3
fantastical,-2.2008901,2.322417,-.38629591,-1.015232,-1.182196,422,The child's imagination was so FANTASTICAL that he could weave stories of dragons and fairies out of thin air.,imaginative,boring,logical,typical,Matched (3),1
fantastical,-2.2008901,2.322417,-.38629591,-1.015232,-1.182196,422,The artist's FANTASTICAL paintings captured a world of vivid colors and dreamlike landscapes.,whimsical,dull,ordinary,realistic,Matched (3),2
fantastical,-2.2008901,2.322417,-.38629591,-1.015232,-1.182196,422,"The movie featured FANTASTICAL creatures and enchanted forests, captivating the audience entirely.",magical,mundane,reasonable,practical,Matched (3),3
fatality,-1.753395,.088079698,-.2953181,-1.673229,-.50554347,233,"The accident on the highway resulted in a FATALITY, prompting an immediate investigation.",death,delay,rescue,celebration,Matched (3),1
fatality,-1.753395,.088079698,-.2953181,-1.673229,-.50554347,233,"Due to the intense storm, the news reported a FATALITY in the coastal town.",casualty,arrival,victory,performance,Matched (3),2
fatality,-1.753395,.088079698,-.2953181,-1.673229,-.50554347,233,The construction site was closed after a tragic FATALITY occurred yesterday.,demise,meeting,conference,enhancement,Matched (3),3
flatfoot,-3.907021,-.0142465,-.2466592,-2.541116,-1.381254,202,"The old FLATFOOT’s days of chasing criminals were long behind him, but he still had valuable stories to tell.",detective,thief,musician,athlete,Matched (3),1
flatfoot,-3.907021,-.0142465,-.2466592,-2.541116,-1.381254,202,"Losing his balance, he stumbled like a true FLATFOOT at the dance competition.",clumsy person,seasoned dancer,enthusiastic spectator,experienced judge,Matched (3),2
flatfoot,-3.907021,-.0142465,-.2466592,-2.541116,-1.381254,202,The detective was known on the street as a reliable FLATFOOT who could always be counted on to solve the case.,police officer,firefighter,teacher,doctor,Matched (3),3
frontage,-2.41435,-.2178272,-.27875519,-3.060307,-.46103421,223,The property has an impressive FRONTAGE overlooking the main road.,facade,garden,garage,basement,Matched (3),1
frontage,-2.41435,-.2178272,-.27875519,-3.060307,-.46103421,223,The new restaurant boasts a stunning FRONTAGE that attracts many customers.,facade,menu,kitchen,staff,Matched (3),2
frontage,-2.41435,-.2178272,-.27875519,-3.060307,-.46103421,223,The store's charming FRONTAGE was decorated with festive lights for the holidays.,facade,sale,inventory,display,Matched (3),3
furl,-3.6364181,-2.0004311,4.4475169,-1.876068,-1.202444,2,"After the ceremony, the scouts began to FURL the flag with great care.",roll up,raise,clean,wave,Matched (3),1
furl,-3.6364181,-2.0004311,4.4475169,-1.876068,-1.202444,2,The campground guide instructed everyone to FURL their tents before leaving.,pack up,set up,inspect,clean,Matched (3),2
furl,-3.6364181,-2.0004311,4.4475169,-1.876068,-1.202444,2,"Before the storm hit, the sailors needed to FURL the sails to prevent any damage.",wrap up,hoist,sew,mend,Matched (3),3
fusspot,-4.2408199,1.620153,-.35677919,-2.802145,-1.73809,101,"Because Martha is a FUSSPOT when it comes to cleanliness, her house is always spotless but it drives her family crazy.",fussbudget,traveler,extrovert,gambler,Matched (3),1
fusspot,-4.2408199,1.620153,-.35677919,-2.802145,-1.73809,101,Sarah’s friends find it hard to keep up with her demands sometimes because she can be such a FUSSPOT about things being in order.,nitpicker,leader,newcomer,dreamer,Matched (3),2
fusspot,-4.2408199,1.620153,-.35677919,-2.802145,-1.73809,101,"Ever since he became manager, John has turned into a real FUSSPOT, always worrying about the smallest details.",perfectionist,slacker,enthusiast,optimist,Matched (3),3
gallantry,-2.2786479,.2479472,.3305549,-.96221977,-.14660791,324,,,,,,Master only (1),1
glum,-2.116667,-1.780383,2.5134561,-.75670159,-.93412977,22,He seemed GLUM as he stared out the window at the rain.,gloomy,ecstatic,attentive,calm,Matched (3),1
glum,-2.116667,-1.780383,2.5134561,-.75670159,-.93412977,22,"After hearing the bad news, she had a very GLUM expression on her face.",sad,happy,curious,excited,Matched (3),2
glum,-2.116667,-1.780383,2.5134561,-.75670159,-.93412977,22,The team was feeling GLUM after losing the championship game.,dejected,joyful,energetic,hopeful,Matched (3),3
gnash,-3.194531,-1.8229361,.1594612,-2.311918,-1.135699,12,,,,,,Master only (1),1
grueling,-1.636696,.52344543,-.3157672,-1.147405,-2.099267,230,The GRUELING climb to the mountain's peak left the hikers completely drained of energy.,strenuous,leisurely,effortless,relaxing,Matched (3),1
grueling,-1.636696,.52344543,-.3157672,-1.147405,-2.099267,230,The marathon was so GRUELING that many runners collapsed from exhaustion during the race.,exhausting,refreshing,enjoyable,simple,Matched (3),2
grueling,-1.636696,.52344543,-.3157672,-1.147405,-2.099267,230,"After a GRUELING week of final exams, the students were eager to relax and unwind.",arduous,easy-going,carefree,dull,Matched (3),3
guardroom,-4.6881781,.0422123,-.27856901,-2.972898,-1.398705,302,The captain instructed the new recruits to report to the GUARDROOM for their assignments.,watchroom,gym,lounge,auditorium,Matched (3),1
guardroom,-4.6881781,.0422123,-.27856901,-2.972898,-1.398705,302,The soldiers gathered in the GUARDROOM to plan their next move.,watchroom,kitchen,library,garden,Matched (3),2
guardroom,-4.6881781,.0422123,-.27856901,-2.972898,-1.398705,302,The prisoner was taken to the GUARDROOM for interrogation after being captured.,watchroom,hall,classroom,office,Matched (3),3
guerrilla,-.70110953,-.018197101,-.33313689,-1.929737,-1.17221,342,The revolutionary wave gained strength thanks to the relentless efforts of the GUERRILLA movement.,insurgent,commanding,structured,diplomatic,Matched (3),1
guerrilla,-.70110953,-.018197101,-.33313689,-1.929737,-1.17221,342,The soldiers were ambushed by a group of GUERRILLA fighters hiding in the forest.,insurgent,disciplined,regular,powerful,Matched (3),2
guerrilla,-.70110953,-.018197101,-.33313689,-1.929737,-1.17221,342,Training became essential for navigating the challenging tactics of GUERRILLA warfare.,insurgent,traditional,formal,orderly,Matched (3),3
