Target Word,Stem,Correct_Response,Response_B,Response_C,Response_D
switchblade,"During the school safety drill, the officer explained the dangers of carrying a SWITCHBLADE and the consequences it could have.",knife,flashlight,notebook,whistle
keepsake,"After the trip, Sarah placed the seashell on her shelf as a KEEPSAKE to remember the wonderful vacation.",memento,souvenir,trinket,relic
blowfish,"The restaurant served a special dish featuring BLOWFISH, which is known for its unique taste and potential danger if not prepared correctly.",pufferfish,salmon,shrimp,lobster
boysenberry,"For dessert, we had vanilla ice cream topped with freshly picked BOYSENBERRIES from the farm.",berries,fruits,vegetables,nuts
kryptonite,The new task at work was like KRYPTONITE to Tom; it slowed him down considerably.,weakness,strength,habit,challenge
shuteye,"After studying for hours late into the night, she desperately needed some SHUTEYE to feel refreshed for the exam.",sleep,exercise,coffee,food
scrabble,"The children began to SCRABBLE through the pile of leaves, searching for the hidden toy.",rummage,organize,ignore,stack
prosper,"The small business began to PROSPER after the owner introduced new, innovative strategies.",thrive,struggle,falter,decline
loudspeaker,"The principal's voice echoed through the LOUDSPEAKER, announcing the results of the school election.",amplifier,microphone,calculator,projector
expertise,The company hired a consultant for her EXPERTISE in digital marketing strategies.,skill,hobby,habit,opinion
undefeated,"The basketball team remained UNDEFEATED throughout the entire season, much to the joy of their fans.",unbeaten,challenged,busy,tired
colonel,"When the COLONEL entered the room, all the soldiers stood at attention.",officer,teacher,technician,musician
unnecessary,The teacher removed all UNNECESSARY details from the assignment instructions to make them clearer.,extra,important,confusing,helpful
ongoing,The student's interest in art is an ONGOING journey that continues to evolve each year.,continuous,fleeting,initial,hesitant
corridor,The students quietly walked down the CORRIDOR on their way to the classroom.,hallway,playground,classroom,library
sophomore,"As a SOPHOMORE in high school, Jake felt more confident about navigating through his classes.",second-year student,freshman,senior,teacher
mastermind,The detective concluded that the suspect was the MASTERMIND behind the elaborate heist.,planner,victim,witness,participant
tabernacle,The townspeople gathered at the TABERNACLE for their weekly worship service.,sanctuary,market,school,theater
restless,"During the long lecture, the students grew RESTLESS, shifting in their seats and fidgeting.",uneasy,attentive,engaged,relaxed
enthusiasm,The teacher's ENTHUSIASM for the subject inspired the students to learn more.,passion,dislike,boredom,hesitation
stampede,"When the fire alarm went off in the crowded theater, it caused a STAMPEDE as people rushed to the exits.",rush,pause,dance,meeting
passive,"During the debate, Alex remained PASSIVE, letting others express their opinions without adding his own.",inactive,energetic,aggressive,talkative
coincidence,It was a COINCIDENCE that both students wore the same outfit to school on the same day.,chance,plan,argument,promise
dissolve,"The chemist watched the sugar DISSOLVE quickly in the water, leaving no visible grains behind.",disappear,float,grow,harden
indifferent,"Despite the heated debate going on around her, Jessica remained INDIFFERENT, showing no interest in the outcome.",unconcerned,passionate,involved,attentive
opportunity,The scholarship gave her the OPPORTUNITY to study at a prestigious university abroad.,chance,obstacle,expectation,requirement
percent,The teacher explained that 50 PERCENT of the class scored above 80 on the test.,portion,number,subject,group
significant,"The research findings were deemed SIGNIFICANT, leading to new developments in the project.",important,minor,unstable,doubtful
institution,The university is a respected INSTITUTION that has been educating students for over a century.,establishment,trend,experiment,achievement
foreign,"The film had a FOREIGN setting, showcasing beautiful landscapes and cultures unfamiliar to the audience.",exotic,domestic,routine,predictable
formation,The teacher explained the FORMATION of new habits by repeatedly engaging in the same actions.,development,destruction,confusion,imitation
computer,"In today's classroom, each student is provided with a COMPUTER to assist with their studies and research.",device,book,teacher,projector
educational,"The museum trip was an EDUCATIONAL experience for the students, helping them learn about ancient civilizations.",informative,decorative,entertaining,relaxing
committee,The school has formed a COMMITTEE to organize the annual science fair and ensure its success.,group,meeting,speech,class
regular,Tim visits the library on a REGULAR basis to borrow new books for his classes.,frequent,occasional,sporadic,rare
contract,The firm expected to CONTRACT its workforce by 10% due to economic challenges.,reduce,expand,motivate,train
standard,The teacher provided a clear STANDARD for the students to follow in their writing assignments.,guideline,story,message,complaint
training,The school implemented a new TRAINING program to help teachers improve their classroom skills.,instruction,vacation,confusion,entertainment
extraordinaire,"The chef was known as a culinary EXTRAORDINAIRE, creating dishes that impressed diners every night.",expert,critic,beginner,student
unidentified,"The mysterious object spotted in the night sky remained UNIDENTIFIED, leaving astronomers curious and puzzled.",unknown,observed,classified,recognized
impressionable,"Young children are often IMPRESSIONABLE, easily influenced by the behavior and opinions of others.",susceptible,resistant,mature,indifferent
superintendent,The SUPERINTENDENT visited the school to ensure that the new policies were being implemented correctly.,administrator,teacher,student,parent
respectability,The new principal worked hard to increase the RESPECTABILITY of the school in the eyes of the community.,reputation,enrollment,budget,size
misconception,The teacher clarified the MISCONCEPTION about the topic to ensure all students understood the lesson.,misunderstanding,fact,detail,instruction
prescription,The doctor gave her a PRESCRIPTION for the medication she needed to recover from the illness.,authorization,suggestion,treatment,decision
accomplishment,Winning the science fair was a significant ACCOMPLISHMENT for the entire team.,achievement,disappointment,attempt,challenge
commemorative,The school issued a COMMEMORATIVE coin to honor the founding of the institution 50 years ago.,commemorative,antique,ordinary,forgotten
representation,"The lawyer argued that the image was a clear REPRESENTATION of the crime scene, helping the jury understand the events.",depiction,error,mystery,tool
characteristic,"One CHARACTERISTIC of the new smartphone is its long battery life, which sets it apart from others.",feature,screen,problem,brand
professional,"As a PROFESSIONAL in his field, Dr. Smith is respected by both colleagues and students for his expertise.",expert,novice,amateur,beginner
